Order,Group,Commodity,Cargo,Cargo_Detail,Min_Tons,Max_Tons,Keywords,Exceptions,Note
146,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 2204 statistical alignment (81.6% consensus, 129742 tons remaining)"
147,Dry Bulk,Carbon Products,Petcoke,Petcoke,2,NONE,,,"HS4 2713 statistical alignment (96.9% consensus, 110000 tons remaining)"
148,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 7210 statistical alignment (92.7% consensus, 99127 tons remaining)"
149,Dry Bulk,Ferrous Raw Materials,Pig Iron,Pig Iron,2,NONE,,,"HS4 7201 statistical alignment (97.0% consensus, 98936 tons remaining)"
150,Liquid Bulk,Chemicals,Chemicals,Caustic Soda,2,NONE,,,"HS4 2815 statistical alignment (95.9% consensus, 95906 tons remaining)"
151,Break Bulk,Metals,Zinc,Zinc,2,NONE,,,"HS4 7901 statistical alignment (97.2% consensus, 83008 tons remaining)"
152,Break Bulk,Perishables,Refrigerated,Refrigerated,2,NONE,,,"HS4 2008 statistical alignment (70.9% consensus, 79516 tons remaining)"
153,Break Bulk,Forestry,Pulp & Paper,Board,2,NONE,,,"HS4 4101 statistical alignment (74.4% consensus, 79491 tons remaining)"
154,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8474 statistical alignment (81.0% consensus, 78345 tons remaining)"
155,Dry Bulk,Minerals & Ores,Industrial Minerals,Perlite,2,NONE,,,"HS4 2530 statistical alignment (80.0% consensus, 77109 tons remaining)"
156,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8703 statistical alignment (88.7% consensus, 76775 tons remaining)"
157,Liquid Bulk,Fertilizer,Liquid Fertilizer,Liquid Fertilizer,2,NONE,,,"HS4 2821 statistical alignment (100.0% consensus, 66607 tons remaining)"
158,Break Bulk,Perishables,Refrigerated,Refrigerated,2,NONE,,,"HS4 0803 statistical alignment (88.4% consensus, 61442 tons remaining)"
159,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8414 statistical alignment (80.9% consensus, 59888 tons remaining)"
160,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 6104 statistical alignment (87.1% consensus, 58002 tons remaining)"
161,Dry Bulk,Minerals & Ores,Fluorspar,Fluorspar,2,NONE,,,"HS4 2529 statistical alignment (75.7% consensus, 57789 tons remaining)"
162,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 4011 statistical alignment (79.2% consensus, 54850 tons remaining)"
163,Break Bulk,Forestry,Pulp & Paper,Paper,2,NONE,,,"HS4 4703 statistical alignment (75.9% consensus, 54474 tons remaining)"
164,Dry Bulk,Minerals & Ores,Salt,Salt,2,NONE,,,"HS4 2501 statistical alignment (99.6% consensus, 52625 tons remaining)"
165,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 3801 statistical alignment (81.1% consensus, 52430 tons remaining)"
166,Liquid Bulk,Agricultural,Animal Fats,Animal Fats,2,NONE,,,"HS4 0511 statistical alignment (100.0% consensus, 47888 tons remaining)"
167,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 0802 statistical alignment (75.0% consensus, 44810 tons remaining)"
168,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 7010 statistical alignment (80.4% consensus, 39832 tons remaining)"
169,Dry Bulk,Construction Materials,Aggregates,Aggregates,2,NONE,,,"HS4 2505 statistical alignment (88.6% consensus, 39515 tons remaining)"
170,Liquid Bulk,Agricultural,Animal Fats,Animal Fats,2,NONE,,,"HS4 2301 statistical alignment (77.9% consensus, 34280 tons remaining)"
171,Dry Bulk,Construction Materials,Cement,Cement,2,NONE,,,"HS4 6204 statistical alignment (81.8% consensus, 34259 tons remaining)"
172,Break Bulk,General Cargo,Project,Vehicles,2,NONE,,,"HS4 6909 statistical alignment (100.0% consensus, 34092 tons remaining)"
173,Break Bulk,General Cargo,Project,Machinery,2,NONE,,,"HS4 8461 statistical alignment (81.6% consensus, 33410 tons remaining)"
174,Break Bulk,Steel,Finished Steel,Tubular Goods,2,NONE,,,"HS4 7306 statistical alignment (89.1% consensus, 31589 tons remaining)"
175,Break Bulk,Steel,Finished Steel,Tubular Goods,2,NONE,,,"HS4 7304 statistical alignment (97.4% consensus, 28549 tons remaining)"
176,Liquid Bulk,Petroleum,Refined Products,Clean Products,2,NONE,,,"HS4 3817 statistical alignment (92.3% consensus, 26767 tons remaining)"
177,Break Bulk,Forestry,Pulp & Paper,Paper,2,NONE,,,"HS4 4810 statistical alignment (99.9% consensus, 23318 tons remaining)"
178,Dry Bulk,Ferrous Raw Materials,Iron Ore,Iron Ore,2,NONE,,,"HS4 2601 statistical alignment (72.4% consensus, 21996 tons remaining)"
179,Dry Bulk,Minerals & Ores,Zircon,Zircon,2,NONE,,,"HS4 2615 statistical alignment (100.0% consensus, 21969 tons remaining)"
180,Break Bulk,Agricultural,Rubber,Rubber,2,NONE,,,"HS4 4001 statistical alignment (93.9% consensus, 20139 tons remaining)"
181,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8462 statistical alignment (74.7% consensus, 19943 tons remaining)"
182,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8507 statistical alignment (85.3% consensus, 19475 tons remaining)"
183,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8418 statistical alignment (87.1% consensus, 19380 tons remaining)"
184,Liquid Bulk,Agricultural,Sugars,Sugars,2,NONE,,,"HS4 2009 statistical alignment (72.2% consensus, 18610 tons remaining)"
185,Liquid Bulk,Agricultural,Animal Fats,Animal Fats,2,NONE,,,"HS4 0202 statistical alignment (71.4% consensus, 18472 tons remaining)"
186,Break Bulk,Metals,Copper,Copper,2,NONE,,,"HS4 7403 statistical alignment (99.7% consensus, 17419 tons remaining)"
187,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 7219 statistical alignment (98.4% consensus, 16604 tons remaining)"
188,Break Bulk,Agricultural,Coffee,Coffee,2,NONE,,,"HS4 0901 statistical alignment (86.7% consensus, 16379 tons remaining)"
189,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 7208 statistical alignment (96.4% consensus, 16231 tons remaining)"
190,Dry Bulk,Construction Materials,Cement,Cement,2,NONE,,,"HS4 2523 statistical alignment (93.1% consensus, 15228 tons remaining)"
191,Break Bulk,Metals,Zinc,Zinc,2,NONE,,,"HS4 2608 statistical alignment (100.0% consensus, 14771 tons remaining)"
192,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 7211 statistical alignment (88.0% consensus, 13618 tons remaining)"
193,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 6110 statistical alignment (79.8% consensus, 13147 tons remaining)"
194,Dry Bulk,Minerals & Ores,Talc,Talc,2,NONE,,,"HS4 2526 statistical alignment (82.4% consensus, 11309 tons remaining)"
195,Break Bulk,Forestry,Pulp & Paper,Lumber,2,NONE,,,"HS4 4412 statistical alignment (76.3% consensus, 10500 tons remaining)"
196,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 7315 statistical alignment (70.0% consensus, 8612 tons remaining)"
197,Liquid Bulk,Agricultural,Sugars,Sugars,2,NONE,,,"HS4 1703 statistical alignment (100.0% consensus, 8006 tons remaining)"
198,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 6907 statistical alignment (91.3% consensus, 7749 tons remaining)"
199,Break Bulk,General Cargo,Project,Machinery,2,NONE,,,"HS4 8504 statistical alignment (77.4% consensus, 7697 tons remaining)"
200,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8609 statistical alignment (72.5% consensus, 7678 tons remaining)"
201,Break Bulk,Forestry,Pulp & Paper,Paper,2,NONE,,,"HS4 4811 statistical alignment (93.2% consensus, 7491 tons remaining)"
202,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8457 statistical alignment (91.0% consensus, 6576 tons remaining)"
203,Dry Bulk,Agricultural,Grain,Rice,2,NONE,,,"HS4 1006 statistical alignment (73.8% consensus, 6552 tons remaining)"
204,Break Bulk,General Cargo,Project,Boats,2,NONE,,,"HS4 8903 statistical alignment (87.4% consensus, 5706 tons remaining)"
205,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8807 statistical alignment (77.1% consensus, 5185 tons remaining)"
206,Dry Bulk,Non-Ferrous Raw Materials,Alumina,Alumina,2,NONE,,,"HS4 2818 statistical alignment (93.6% consensus, 5053 tons remaining)"
207,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 7301 statistical alignment (100.0% consensus, 4774 tons remaining)"
208,Break Bulk,Steel,Finished Steel,Long Products,2,NONE,,,"HS4 7221 statistical alignment (96.3% consensus, 3334 tons remaining)"
209,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8455 statistical alignment (91.0% consensus, 2784 tons remaining)"
210,Break Bulk,Forestry,Pulp & Paper,Lumber,2,NONE,,,"HS4 4411 statistical alignment (75.1% consensus, 2200 tons remaining)"
211,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 7209 statistical alignment (95.7% consensus, 2056 tons remaining)"
212,Break Bulk,Steel,Finished Steel,Flat Rolled,2,NONE,,,"HS4 7217 statistical alignment (83.5% consensus, 2049 tons remaining)"
213,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8480 statistical alignment (71.4% consensus, 1806 tons remaining)"
214,Break Bulk,General Cargo,Project,Vehicles,2,NONE,,,"HS4 3307 statistical alignment (90.3% consensus, 1603 tons remaining)"
215,Liquid Bulk,Agricultural,Animal Fats,Animal Fats,2,NONE,,,"HS4 1302 statistical alignment (84.8% consensus, 1504 tons remaining)"
216,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8207 statistical alignment (78.9% consensus, 1492 tons remaining)"
217,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8543 statistical alignment (70.0% consensus, 1422 tons remaining)"
218,Break Bulk,General Cargo,Vehicles,Vehicles,2,NONE,,,"HS4 8450 statistical alignment (93.3% consensus, 1399 tons remaining)"
219,Break Bulk,Forestry,Pulp & Paper,Lumber,2,NONE,,,"HS4 4409 statistical alignment (83.9% consensus, 1328 tons remaining)"
220,Break Bulk,General Cargo,General Cargo,General Cargo Catchall,2,NONE,,,"HS4 3208 statistical alignment (84.6% consensus, 1124 tons remaining)"
221,Dry Bulk,Carbon Products,Coal,Coal,2,NONE,,,"HS4 2701 statistical alignment (100.0% consensus, 1043 tons remaining)"
222,Break Bulk,General Cargo,General Cargo,General Cargo,0,NONE,,,FINAL CATCHALL - everything else classified as General Cargo for 100% coverage
