********************************************************************************
*                                                                              *
* Import SIC codes - 1,2,3 and 4 digit                                         *
*                                                                              *
*------------------------------------------------------------------------------*
* Code    | Description                                                        *
  3523    | FARM MACHINERY AND EQUIPMENT, AND PARTS, NSPF
  3524    | LAWN AND GARDEN EQUIPMENT, AND PARTS, NSPF
  353     | CONSTRUCTION, MINING AND OIL-FIELD MACHINERY AND EQUIPMENT, AND PARTS, NSPF
  3531    | CONSTRUCTION MACHINERY, AND PARTS, NSPF
  3532    | MINING MACHINERY AND EQUIPMENT, NEC, AND PARTS, NSPF
  3533    | OIL AND GAS FIELD MACHINERY AND EQUIPMENT, AND PARTS
  3534    | ELEVATORS AND MOVING STAIRWAYS, AND PARTS, NSPF
  3535    | CONVEYORS AND CONVEYING EQUIPMENT, AND PARTS, NSPF
  3536    | HOISTS, CRANES, AND MONORAILS, AND PARTS, NSPF
  3537    | INDUSTRIAL TRUCKS AND TRACTORS, AND PARTS, NSPF
  354     | METALWORKING MACHINERY AND EQUIPMENT, AND PARTS, NSPF
  3541    | MACHINE TOOLS, METAL-CUTTING, AND PARTS, NSPF
  3542    | MACHINE TOOLS, METAL-FORMING, AND PARTS, NSPF
  3543    | INDUSTRIAL PATTERNS
  3544    | SPECIAL DIES, TOOLS, JIGS, AND FIXTURES
  3545    | MACHINE TOOL ACCESSORIES, AND PARTS, NSPF
  3546    | POWER DRIVEN HAND TOOLS, AND PARTS, NSPF
  3547    | ROLLING MILL MACHINERY, AND PARTS, NSPF
  3548    | WELDING APPARATUS, AND PARTS, NSPF
  355     | SPECIAL INDUSTRY MACHINERY, EXCEPT METALWORKING MACHINERY, AND PARTS, NSPF
  3552    | TEXTILE MACHINERY, AND PARTS, NSPF
  3553    | WOODWORKING MACHINERY, AND PARTS, NSPF
  3554    | PULP AND PAPER MACHINERY, AND PARTS, NSPF
  3555    | PRINTING TRADES MACHINES AND EQUIPMENT, AND PARTS, NSPF
  3556    | FOOD PRODUCTS MACHINERY, AND PARTS, NSPF
  3559    | SPECIAL INDUSTRY MACHINERY, NSPF, AND PARTS, NSPF
  356     | GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT, NSPF, AND PARTS, NSPF
  3561    | PUMPS AND PUMPING EQUIPMENT, AND PARTS, NSPF
  3562    | BALL AND ROLLER BEARINGS, AND PARTS, NSPF
  3563    | AIR AND GAS COMPRESSORS, AND PARTS, NSPF
  3564    | FANS AND BLOWERS, AND PARTS, NSPF
  3565    | PACKAGING MACHINERY, AND PARTS, NSPF
  3566    | SPEED CHANGERS, DRIVES, AND GEARS, AND PARTS, NSPF
  3567    | INDUSTRIAL FURNACES AND OVENS, AND PARTS, NSPF
  3568    | MECHANICAL POWER TRANSMISSION EQUIPMENT, NSPF, AND PARTS, NSPF
  3569    | GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT, AND PARTS, NSPF
  357     | OFFICE, COMPUTING, AND ACCOUNTING MACHINES, AND PARTS, NSPF
  3571    | COMPUTERS, AND PARTS, NSPF
  3572    | COMPUTER STORAGE DEVICES, AND PARTS, NSPF
  3577    | COMPUTER PERIPHERAL EQUIPMENT, NSPF, AND PARTS, NSPF
  3578    | CALCULATING AND ACCOUNTING MACHINES, AND PARTS, NSPF
  3579    | OFFICE MACHINES, NSPF, AND PARTS, NSPF
  358     | REFRIGERATION AND SERVICE INDUSTRY MACHINERY, AND PARTS, NSPF
  3581    | AUTOMATIC VENDING MACHINES, AND PARTS, NSPF
  3585    | REFRIGERATION AND HEATING EQUIPMENT
  3586    | MEASURING AND DISPENSING PUMPS FOR LIQUIDS
  3589    | INDUSTRIAL WET/DRY VACUUM CLEANERS AND PARTS
  359     | FLUID POWER PUMPS AND MOTORS AND SCALES AND BALANCES, EXCEPT LABORATORY
  3593    | FLUID POWER CYLINDERS AND ACTUATORS
  3594    | FLUID POWER PUMPS AND MOTORS, AND PARTS, NSPF
  3596    | SCALES AND BALANCES, EXCEPT LABORATORY
  3599    | MACHINERY, EXCEPT ELECTRICAL, NSPF, AND PARTS, NSPF
  36      | ELECTRICAL MACHINERY, EQUIPMENT, AND SUPPLIES
  361     | ELECTRIC DISTRIBUTION EQUIPMENT
  3612    | TRANSFORMERS, AND PARTS, NSPF
  3613    | SWITCHGEAR AND SWITCHBOARD APPARATUS, AND PARTS, NSPF
  362     | ELECTRICAL INDUSTRIAL APPARATUS, AND PARTS, NSPF
  3621    | MOTORS AND GENERATORS, AND PARTS, NSPF
  3624    | CARBON OR GRAPHITE PRODUCTS
  3625    | RELAYS AND INDUSTRIAL CONTROLS, AND PARTS, NSPF
  3629    | ELECTRICAL INDUSTRIAL APPARATUS, AND PARTS, NSPF
  363     | HOUSEHOLD APPLIANCES, NSPF, AND PARTS, NSPF
  3631    | HOUSEHOLD OVENS, RANGES, COOKING UNITS, EQUIPMENT, EXCEPT ELECTRIC
  3632    | REFRIGERATORS AND REFRIGERATING EQUIPMENT, NSPF
  3633    | HOUSEHOLD LAUNDRY EQUIPMENT
  3634    | ELECTRIC HOUSEWARES AND FANS, NSPF
  3635    | VACUUM CLEANERS, EXCEPT INDUSTRIAL, AND PARTS, NSPF
  3639    | HOUSEHOLD APPLIANCES, NSPF, AND PARTS, NSPF
  364     | ELECTRIC LIGHTING AND WIRING EQUIPMENT
  3641    | ELECTRIC LAMPS
  3643    | CURRENT-CARRYING WIRING DEVICES, NSPF
  3644    | IRON OR STEEL PIPE OR TUBES, PREPARED, COATED OR LINED, FOR USE AS CONDUITS FOR ELECT CONDUCTORS, AND FITTINGS
  3645    | RESIDENTIAL ELECTRIC LIGHTING FIXTURES
  3647    | VEHICULAR LIGHTING EQUIPMENT
  3648    | LIGHTING EQUIPMENT, NSPF, AND PARTS, NSPF
  365     | RADIO AND TV RECEIVING EQUIPMENT
  3651    | RADIO AND TV RECEIVING SETS, PHONOGRAPHS, RECORD PLAYERS RECORD CHANGERS, TURNTABLES, AND AUDIO EQUIPMENT, NSPF
  3652    | PHONOGRAPH RECORDS; PRE-RECORDED MAGNETIC TAPES OR WIRES MASTER RECORDS, OR METAL MATRICES
  366     | COMMUNICATION EQUIPMENT, NSPF, AND PARTS, NSPF
  3661    | TELEPHONE AND TELEGRAPH APPARATUS, AND PARTS, NSPF
  3663    | RADIO, BROADCAST, AND TELEVISION COMMUNICATIONS EQUIPMENT
  3669    | OTHER COMMUNICATIONS EQUIPMENT, NSPF, AND PARTS, NSPF
  367     | ELECTRONIC COMPONENTS AND ACCESSORIES, NSPF
  3671    | ELECTRON TUBES
  3672    | PRINTED CIRCUIT BOARDS
  3674    | SEMICONDUCTORS AND RELATED DEVICES, AND PARTS, NSPF
  3675    | ELECTRONIC CAPACITORS
  3676    | RESISTORS FOR ELECTRONIC APPLICATIONS
  3677    | ELECTRONIC COILS AND TRANSFORMERS
  3678    | CONNECTORS, FOR ELECTRONIC APPLICATIONS
  3679    | ELECTRONIC COMPONENTS, NSPF
  369     | ELECTRICAL MACHINERY, EQUIPMENT, AND SUPPLIES, NSPF, AND PARTS, NSPF
  3691    | STORAGE BATTERIES, AND PARTS, NSPF
  3692    | PRIMARY BATTERIES, AND PARTS, NSPF
  3694    | ELECTRICAL STARTING AND IGNITION EQUIPMENT FOR INTERNAL COMBUSTION ENGINES, AND PARTS, NSPF
  3695    | RECORDING MEDIA
  3699    | ELECTRICAL EQUIPMENT AND SUPPLIES, NSPF, AND PARTS, NSPF
  37      | TRANSPORTATION EQUIPMENT
  371     | MOTOR VEHICLES, AND PARTS, NSPF
  3711    | MOTOR VEHICLES AND PASSENGER CAR BODIES
  3713    | TRUCK AND BUS BODIES
  3714    | MOTOR VEHICLE PARTS AND ACCESSORIES, NSPF
  3715    | TRUCK TRAILERS
  3716    | MOTOR HOMES
  372     | AIRCRAFT, AND PARTS, NSPF
  3721    | AIRCRAFT
  3724    | AIRCRAFT ENGINES AND ENGINE PARTS, NSPF
  3728    | AIRCRAFT EQUIPMENT, NSPF
  373     | YACHTS OR PLEASURE BOATS, AND PARTS, NSPF
  3731    | SHIP BUILDING AND REPAIRING
  3732    | BOAT BUILDING AND REPAIRING
  374     | RAILROAD EQUIPMENT AND PARTS, NSPF, OF RAILROAD AND RAILWAY ROLLING STOCK
  3743    | RAILROAD EQUIPMENT, AND PARTS, NSPF
  375     | MOTORCYCLES, BICYCLES, AND PARTS, NSPF
  3751    | MOTORCYCLES, BICYCLES, AND PARTS, NSPF
  376     | SPACECRAFT
  3761    | GUIDED MISSILES AND SPACE VEHICLES, AND PARTS, NSPF
  3764    | MISSILE AND ROCKET ENGINES
  3769    | GUIDED MISSILES AND SPACE VEHICLES, PARTS AND AUXILIARY EQUIPMENT, NOT ELSEWHERE CLASSIFIED
  379     | MISCELLANEOUS TRANSPORTATION EQUIPMENT, AND PARTS, NSPF
  3792    | TRAVEL TRAILERS AND CAMPERS
  3795    | TANKS AND TANK COMPONENTS, AND PARTS, NSPF
  3799    | OTHER TRANSPORTATION EQUIPMENT, NSPF, AND PARTS, NSPF
  38      | SCIENTIFIC AND PROFESSIONAL INSTRUMENTS; PHOTOGRAPHIC AND OPTICAL GOODS; WATCHES AND CLOCKS
  381     | ENGINEERING, LABORATORY, AND SCIENTIFIC AND RESEARCH INSTRUMENTS AND ASSOCIATED EQUIPMENT, AND PARTS, NSPF
  3812    | NAVIGATION, AERONAUTICAL, SEARCH, DETECTION, GUIDANCE, AND NAUTICAL SYSTEMS, INSTRUMENTS, AND EQUIPMENTS, NSPF
  382     | MECHANICAL MEASURING AND CONTROLLING INSTRUMENTS AND AUTOMATIC TEMPERATURE CONTROLS
  3822    | AUTOMATIC REGULATING CONTROLS AND APPLIANCES, NSPF
  3823    | INDUST INSTRUMENT FOR MEASUREMENT, DISPLAY, CONTROL PROCESS VARIABLES
  3824    | FLUID METERS AND COUNTING DEVICES, AND PARTS, NSPF
  3825    | INSTRUMENTS FOR MEASURING AND TESTING ELECTRICITY AND ELECT SIGNALS
  3826    | LABORATORY ANALYTICAL INSTRUMENTS, AND PARTS AND ACCESSORIES, NSPF
  3827    | OPTICAL INSTRUMENTS, AND PARTS, NSPF
  3829    | MEASURING AND CONTROLLING DEVICES, NSPF, AND PARTS, NSPF
  384     | SURGICAL, MEDICAL, AND DENTAL INSTRUMENTS AND SUPPLIES, AND PARTS, NSPF
  3841    | SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS, NSPF
  3842    | ORTHOPEDIC, PROSTHETIC, AND SURGICAL APPLIANCES AND SUPPLIES, NSPF
  3843    | DENTAL EQUIPMENT, SUPPLIES, AND PARTS, NSPF
  3844    | X-RAY APPARATUS AND TUBES AND RELATED IRRADIATION APPARATUS
  3845    | ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS
  385     | OPTHALMIC GOODS, AND PARTS, NSPF
  3851    | OPHTHALMIC GOODS, AND PARTS, NSPF
  386     | PHOTOGRAPHIC EQUIPMENT AND SUPPLIES
  3861    | PHOTOGRAPHIC EQUIPMENT AND SUPPLIES
  387     | WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES, AND PARTS, NSPF
  3873    | WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES, AND PARTS, NSPF
  39      | MISCELLANEOUS MANUFACTURED COMMODITIES
  391     | JEWELRY, SILVERWARE, AND PLATED WARE
  3911    | JEWELRY, OF PRECIOUS METAL
  3914    | SILVERWARE, PLATED WARE, AND STAINLESS STEEL WARE
  3915    | JEWELERS' FINDINGS AND MATERIALS, AND LAPIDARY WORK
  393     | MUSICAL INSTRUMENTS, AND PARTS, NSPF
  3931    | MUSICAL INSTRUMENTS, AND PARTS, NSPF
  394     | TOYS AND AMUSEMENT, SPORTING, AND ATHLETIC GOODS
  3942    | DOLLS AND STUFFED TOY ANIMALS
  3944    | GAMES, TOYS, AND CHILDREN'S VEHICLES, EXCEPT DOLLS AND BICYCLES
  3949    | SPORTING AND ATHLETIC GOODS, AND PARTS, NSPF
  395     | PENS, PENCILS, CARBON PAPER, AND OTHER OFFICE AND ARTISTS' MATERIALS
  3951    | PENS, MECHANICAL PENCILS, AND PARTS, NSPF
  3952    | PENCILS, OFFICE, AND ART SUPPLIES
  3953    | MARKING DEVICES
  3955    | CARBON PAPER AND INKED RIBBONS
  396     | COSTUME JEWELRY, COSTUME NOVELTIES, ARTIFICIAL FLOWERS, BUTTONS, AND MISCELLANEOUS NOTIONS, NOT OF PREC METAL
  3961    | COSTUME JEWELRY AND COSTUME NOVELTIES, EXCEPT PRECIOUS METAL
  3965    | NEEDLES, PINS, BUTTONS, AND CLOTHING FASTENERS
  399     | MISCELLANEOUS MANUFACTURED PRODUCTS, NSPF
  3991    | BROOMS AND BRUSHES
  3993    | SIGNS AND ADVERTISING DISPLAYS
  3996    | LINOLEUM AND OTHER HARD SURFACE FLOOR COVERINGS, NSPF
  3999    | MANUFACTURED ARTICLES, NSPF
  3X      | MANUFACTURED COMMODITIES NOT IDENTIFIED BY KIND
  3XX     | MANUFACTURED COMMODITIES NOT IDENTIFIED BY KIND
  3XXX    | MANUFACTURED COMMODITIES NOT IDENTIFIED BY KIND
  9       | OTHER COMMODITIES
  91      | SCRAP AND WASTE
  910     | SCRAP AND WASTE
  9100    | SCRAP AND WASTE
  92      | USED OR SECOND-HAND MERCHANDISE
  920     | USED OR SECOND-HAND MERCHANDISE
  9200    | USED OR SECOND-HAND MERCHANDISE
  98      | UNITED STATES GOODS RETURNED, AND REIMPORTED ARTICLES, DUTY PAID UPON PREVIOUS IMPORTATION
  980     | UNITED STATES GOODS RETURNED, AND REIMPORTED ARTICLES, DUTY PAID UPON IMPORTATION
  9800    | UNITED STATES GOODS RETURNED, AND REIMPORTED ARTICLES, DUTY PAID UPON IMPORTATION
  99      | SPECIAL CLASSIFICATION PROVISIONS, NSPF
  990     | SPECIAL CLASSIFICATION PROVISIONS, NSPF
  9900    | SPECIAL CLASSIFICATION PROVISIONS, NSPF
          |
********************************************************************************
* Questions: Foreign Trade Division, U.S. Census Bureau, Washignton, DC 20233  *
* E-mail   : ftdwebmaster@ccmail.census.gov                                    *
********************************************************************************
Published:  December 29, 1999
