********************************************************************************
*                                                                              *
* Export SIC codes - 1,2,3 and 4 digit                                         *
*                                                                              *
*------------------------------------------------------------------------------*
* Code    | Description                                                        *
  3523    | FARM MACHINERY AND EQUIPMENT, AND PARTS, NSPF
  3524    | LAWN AND GARDEN EQUIPMENT, AND PARTS, NSPF
  353     | CONSTRUCTION, MINING, AND MATERIALS HANDLING MACHINERY
  3531    | CONSTRUCTION MACHINERY, AND PARTS, NSPF
  3532    | MINING MACHINERY AND EQUIPMENT, NSPF
  3533    | OIL AND GAS FIELD EQUIPMENT, AND PARTS, NSPF
  3534    | ELEVATORS AND MOVING STAIRWAYS, AND PARTS, NSPF
  3535    | CONVEYORS AND CONVEYING EQUIPMENT, AND PARTS, NSPF
  3536    | HOISTS, OVERHEAD TRAVELING CRANES, AND MONORAILS, AND PARTS AND ATTACHMENTS, NSPF
  3537    | INDUSTRIAL TRUCKS AND TRACTORS, AND PARTS, NSPF
  354     | METALWORKING MACHINES AND EQUIPMENT, AND PARTS, ACCESSORIES AND ATTACHMENTS, NSPF
  3541    | MACHINE TOOLS, METAL-CUTTING, AND PARTS, NSPF
  3542    | MACHINE TOOLS METAL-FORMING, AND PARTS, NSPF
  3543    | MOLDERS' PATTERNS FOR THE MANUFACTURE OF CASTINGS
  3544    | SPECIAL DIES, TOOLS, JIGS, AND FIXTURES
  3545    | MACHINE TOOL ACCESSORIES, AND PARTS, NSPF
  3546    | POWER DRIVEN HAND TOOLS, AND PARTS, NSPF
  3547    | ROLLING MILL MACHINERY, AND PARTS, NSPF
  3548    | WELDING APPARATUS, AND PARTS, NSPF
  355     | SPECIAL INDUSTRY MACHINES AND EQUIPMENT, NSPF, AND PARTS, ACCESSORIES AND ATTACHMENTS, NSPF
  3552    | TEXTILE MACHINES, NSPF, AND PARTS AND ATTACHMENTS, NSPF
  3553    | WOODWORKING MACHINES, AND PARTS AND ATTACHMENTS, NSPF
  3554    | PAPER INDUSTRIES MACHINES AND EQUIPMENT, AND PARTS AND ATTACHMENTS, NSPF
  3555    | PRINTING TRADES MACHINES AND EQUIPMENT, AND PARTS AND ACCESSORIES, NSPF
  3556    | FOOD PRODUCTS MACHINERY, AND PARTS, NSPF
  3559    | SPECIAL INDUSTRY MACHINERY, NSPF, AND PARTS, NSPF
  356     | GENERAL INDUSTRIAL MACHINES AND EQUIPMENT, NSPF, AND PARTS AND ATTACHMENTS, NSPF
  3561    | PUMPS AND PUMPING EQUIPMENT, EXCEPT FLUID POWER PUMPS
  3562    | BALL AND ROLLER BEARINGS, AND BALLS, ROLLERS AND PARTS, NSPF
  3563    | AIR AND GAS COMPRESSORS, AND PARTS AND ATTACHMENTS, NSPF
  3564    | FANS AND BLOWERS, EXCEPT HOUSEHOLD TYPE; DUST COLLECTION AND AIR PURIFICATION EQUIPMENT; AND PARTS, NSPF
  3565    | PACKAGING MACHINERY, AND PARTS, NSPF
  3566    | SPEED CHANGERS, DRIVERS, AND GEARS, AND PARTS, NSPF
  3567    | INDUSTRIAL FURNACES AND OVENS, AND PARTS, NSPF
  3568    | MECHANICAL POWER TRANSMISSION EQUIPMENT, NSPF, AND PARTS, NSPF
  3569    | GENERAL INDUSTRIAL MACHINERY AND EQUIPMENT, AND PARTS, NSPF
  357     | OFFICE, COMPUTING, AND ACCOUNTING MACHINES, AND PARTS AND ACCESSORIES, NSPF
  3571    | ELECTRONIC COMPUTERS
  3572    | COMPUTER STORAGE DEVICES
  3577    | COMPUTER PERIPHERAL EQUIPMENT, NSPF, AND PARTS, NSPF
  3578    | CALCULATING AND ACCOUNTING MACHINES, AND PARTS, NSPF
  3579    | OFFICE MACHINES, NSPF, AND PARTS, NSPF
  358     | REFRIGERATION AND SERVICE MACHINERY, AND PARTS AND ATTACHMENTS, NSPF
  3581    | AUTOMATIC MERCHANDISING MACHINES, AND PARTS, NSPF
  3585    | REFRIGERATION AND HEATING EQUIPMENT
  3586    | MEASURING AND DISPENSING PUMPS FOR LIQUIDS; AND FORCE-FEED, PNEUMATIC, HAND-HELD LUBRICATING EQUIPMENT, AND PARTS, NSPF
  3589    | SERVICE INDUSTRY MACHINES AND EQUIPMENT, AND PARTS, NSPF
  359     | FLEXIBLE TUBING AND PIPING OF BASE METAL; AND MACHINE PARTS, NSPF, NONELECTRIC, NSPF
  3593    | FLUID POWER CYLINDERS AND ACTUATORS
  3594    | FLUID POWER PUMPS AND MOTORS, AND PARTS, NSPF
  3596    | SCALES AND BALANCES, EXCEPT LABORATORY, AND PARTS, NSPF
  3599    | MACHINERY, EXCEPT ELECTRICAL, NSPF, AND PARTS, NSPF
  36      | ELECTRICAL AND ELECTRONIC MACHINERY, EQUIPMENT, AND SUPPLIES
  361     | ELECTRIC TRANSMISSION AND DISTRIBUTION EQUIPMENT, AND PARTS, NSPF
  3612    | TRANSFORMERS, AND PARTS, NSPF
  3613    | SWITCHGEAR AND SWITCHBOARD APPARATUS, AND PARTS, NSPF
  362     | ELECTRICAL INDUSTRIAL APPARATUS
  3621    | ELECTRIC MOTORS, GENERATORS, GENERATOR SETS, ROTATING CONVERTERS, AND PARTS AND ACCESSORIES, NSPF
  3624    | CARBON OR GRAPHITE PRODUCTS
  3625    | RELAYS AND INDUSTRIAL CONTROLS
  3629    | ELECTRICAL INDUSTRIAL APPARATUS, NSPF
  363     | HOUSEHOLD APPLIANCES, AND PARTS, NSPF
  3631    | COOKING STOVES, OVENS, AND RANGES, HOUSEHOLD TYPE, AND PARTS, NSPF
  3632    | REFRIGERATORS AND FREEZERS, HOUSEHOLD TYPE, AND PARTS, NSPF
  3633    | HOUSEHOLD LAUNDRY EQUIPMENT
  3634    | ELECTRO-MECHANICAL HOUSEHOLD TYPE APPLIANCES, NSPF, AND ELECTRO-THERMIC APPLIANCES, NSPF, AND PARTS & ACCESSORIES, NSPF
  3635    | VACUUM CLEANERS, HOUSEHOLD TYPE, ELECTRIC, AND PARTS, NSPF
  3639    | HOUSEHOLD APPLIANCES, NSPF, AND PARTS, NSPF
  364     | ELECTRIC LIGHTING AND WIRING EQUIPMENT
  3641    | ELECTRIC LAMPS
  3643    | CURRENT-CARRYING WIRING DEVICES
  3644    | NON-CURRENT CARRYING WIRING DEVICES
  3645    | RESIDENTIAL ELECTRIC LIGHTING FIXTURES
  3647    | MOTOR VEHICLE LIGHTING EQUIPMENT, ELECTRIC, NSPF, AND VEHICULAR LIGHTING FIXTURES, OF BASE METAL, NSPF
  3648    | LIGHTING EQUIPMENT, NSPF (INCLUDING COMMERCIAL)
  365     | RADIO AND TV RECEIVING SETS; PHONOGRAPHS; RECORDERS; MICROPHONES; LOUDSPEAKERS; AUDIO AMPLIFIERS; & OTHER AUDIO EQUIPMENT & ACCESSORIES
  3651    | RADIO & TV RECEIVING SETS; PHONOGRAPHS; RECORDERS, NSPF; MICROPHONES; LOUDSPEAKERS; AUDIO AMPLIFIERS; & OTH AUDIO EQUIP
  3652    | PHONOGRAPH RECORDS, RECORD BLANKS, AND PRERECORDED TAPES
  366     | COMMUNICATION EQUIPMENT AND APPARATUS
  3661    | TELEPHONE AND TELEGRAPH APPARATUS, AND PARTS, NSPF
  3663    | RADIO, TV COMMUN, BROADCAST, AND STUDIO EQUIP, NSPF, AND PARTS, NSPF
  3669    | OTHER COMMUNICATIONS EQUIPMENT, NSPF, AND PARTS, NSPF
  367     | ELECTRONIC COMPONENTS AND ACCESSORIES
  3671    | ELECTRON TUBES
  3672    | PRINTED CIRCUIT BOARDS
  3674    | SEMICODUCTORS AND RELATED DEVICES, AND PARTS, NSPF
  3675    | ELECTRONIC CAPACITORS
  3676    | RESISTORS, FOR ELECTRONIC APPLICATIONS
  3677    | ELECTRONIC COILS AND TRANSFORMERS
  3678    | CONNECTORS, FOR ELECTRONIC APPLICATIONS
  3679    | ELECTRONIC COMPONENTS, NSPF
  369     | ELECTRICAL MACHINERY, APPARATUS, AND PARTS, NSPF
  3691    | STORAGE BATTERIES, AND PARTS, NSPF
  3692    | PRIMARY BATTERIES, AND PARTS, NSPF
  3694    | ELECTRICAL EQUIPMENT FOR INTERNAL COMBUSTION ENGINES
  3695    | MAGNETIC RECORDING MEDIA
  3699    | ELECTRICAL EQUIPMENT AND SUPPLIES, NSPF, AND PARTS, NSPF
  37      | TRANSPORTATION EQUIPMENT
  371     | MOTOR VEHICLES AND MOTOR VEHICLE EQUIPMENT, AND PARTS, NSPF
  3711    | MOTOR VEHICLES AND PASSENGER CAR BODIES
  3713    | TRUCK AND BUS BODIES
  3714    | MOTOR VEHICLE PARTS AND ACCESSORIES, NSPF
  3715    | TRUCK TRAILERS, AND PARTS, NSPF, EXCLUDING OFF-HIGHWAY TRAILERS AND WAGONS
  3716    | MOTOR HOMES
  372     | AIRCRAFT AND PARTS, NSPF
  3721    | AIRCRAFT
  3724    | AIRCRAFT ENGINES AND ENGINE PARTS, NSPF
  3728    | AIRCRAFT EQUIPMENT, NSPF
  373     | SHIP AND BOAT BUILDING AND REPAIRING
  3731    | SHIP BUILDING AND REPAIRING
  3732    | BOAT BUILDING AND REPAIRING
  374     | RAILROAD EQUIPMENT
  3743    | RAILROAD EQUIPMENT, AND PARTS, NSPF
  375     | MOTORCYCLES, MOTOR SCOOTERS, MOTORBIKES, AND CYCLES, NOT MOTORIZED, NSPF, AND PARTS, NSPF
  3751    | MOTORCYCLES, BICYCLES, AND PARTS, NSPF
  376     | GUIDED MISSILES AND SPACE VEHICLES, AND PARTS, NSPF
  3761    | GUIDED MISSILES AND SPACE VEHICLES, AND PARTS, NSPF
  3764    | MISSILE AND ROCKET ENGINES
  3769    | GUIDED MISSILES AND SPACE VEHICLES, PARTS AND AUXILIARY EQUIPMENT, NOT ELSEWHERE CLASSIFIED
  379     | MISCELLANEOUS TRANSPORTATION EQUIPMENT, AND PARTS, NSPF
  3792    | TRAVEL TRAILERS AND CAMPERS, AND PARTS, NSPF
  3795    | TANKS AND TANK COMPONENTS, AND PARTS, NSPF
  3799    | TRANSPORTATION EQUIPMENT, NSPF, AND PARTS, NSPF
  38      | SCIENTIFIC AND PROFESSIONAL INSTRUMENTS; PHOTOGRAPHIC AND OPTICAL GOODS; WATCHES AND CLOCKS
  381     | AIRCRAFT FLIGHT, NAUTICAL & NAVIGATIONAL, LABORATORY & SCIENTIFIC, GEOPHYSICAL, SURVEYING & DRAFTING INSTRUMENTS, & PARTS, NSPF
  3812    | SEARCH, DETECTION, NAVIGATION, AND GUIDANCE SYSTEMS AND INSTRUMENTS
  382     | INSTRUMENTS FOR MEASURING, DETECTING, TESTING, AND/OR CONTROLLING NONELECTRIC QUANTITIES, NSPF, AND PARTS & ACCESSORIES, NSPF
  3822    | ENVIRONMENTAL CONTROLS, AND PARTS, NSPF
  3823    | INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL OF PROCESS VARIABLES; AND RELATED PRODUCTS
  3824    | FLUID METERS AND COUNTING DEVICES, AND PARTS, NSPF
  3825    | INSTRUMENTS FOR MEASURING AND TESTING ELECTRICITY AND ELECT SIGNALS
  3826    | LABORATORY ANALYTICAL INSTRUMENTS, AND PARTS AND ACCESSORIES, NSPF
  3827    | OPTICAL INSTRUMENTS, AND PARTS, NSPF
  3829    | MEASURING AND CONTROLLING DEVICES, NSPF, AND PARTS, NSPF
  384     | SURGICAL, MEDICAL, AND DENTAL INSTRUMENTS AND SUPPLIES
  3841    | SURGICAL AND MEDICAL INSTRUMENTS AND APPARATUS, NSPF
  3842    | ORTHOPEDIC, PROSTHETIC, AND SURGICAL APPLIANCES AND SUPPLIES, NSPF
  3843    | DENTAL EQUIPMENT, SUPPLIES, AND PARTS, NSPF
  3844    | X-RAY APPARATUS AND TUBES, AND PARTS, NSPF
  3845    | ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS, AND PARTS, NSPF
  385     | OPTHALMIC FOCUS LENSES, UNMOUNTED, INCLUDING CONTACT LENSES; AND SPECTACLES, AND PARTS, NSPF
  3851    | OPHTHALMIC GOODS, AND PARTS, NSPF
  386     | PHOTOGRAPHIC EQUIPMENT AND SUPPLIES
  3861    | PHOTOGRAPHIC EQUIPMENT AND SUPPLIES
  387     | WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES, AND PARTS, NSPF
  3873    | WATCHES, CLOCKS, CLOCKWORK OPERATED DEVICES, AND PARTS, NSPF
  39      | MISCELLANEOUS MANUFACTURED COMMODITIES
  391     | JEWELRY OF PRECIOUS METAL; JEWELRY FINDINGS; PRECIOUS AND SEMIPRECIOUS STONES, NOT SET OR STRUNG; SILVERWARE AND PLATED WARE
  3911    | JEWELRY, OF PRECIOUS METAL
  3914    | SILVERWARE, PLATED WARE, AND STAINLESS STEEL WARE
  3915    | JEWELER'S FINDINGS AND MATERIALS, AND LAPIDARY WORK
  393     | MUSICAL INSTRUMENTS, AND PARTS AND ACCESSORIES, NSPF
  3931    | MUSICAL INSTRUMENTS, AND PARTS, NSPF
  394     | TOYS AND SPORTING, ATHLETIC, AND GYMNASTIC GOODS, APPLIANCES, APPARATUS OR ACCESSORIES, NSPF
  3942    | DOLLS AND STUFFED TOY ANIMALS
  3944    | GAMES, TOYS, AND CHILDREN'S VEHICLES, EXCEPT DOLLS AND BICYCLES
  3949    | SPORTING AND ATHLETIC GOODS, AND PARTS, NSPF
  395     | PENS, PENCILS, AND OTHER OFFICE AND STATIONERY SUPPLIES, AND ARTISTS' MATERIALS
  3951    | PENS, MECHANICAL PENCILS, AND PARTS
  3952    | PENCILS, OFFICE, AND ART SUPPLIES
  3953    | MARKING DEVICES
  3955    | CARBON PAPER AND INKED RIBBONS
  396     | JEWELRY, NSPF; BUTTONS, NEEDLES, AND MISCELLANEOUS NOTIONS
  3961    | JEWELRY OF MATERIALS OTHER THAN SOLID GOLD, PLATINUM & SILVER
  3965    | NEEDLES, PINS, BUTTONS, AND CLOTHING FASTENERS
  399     | BROOMS AND BRUSHES; LINOLEUM AND OTHER FLOOR COVERINGS WITH A TEXTILE BASE; MATCHES; CANDLES, TAPERS AND SIMILAR ITEMS
  3991    | BROOMS AND BRUSHES
  3993    | SIGNS AND ADVERTISING DISPLAYS
  3996    | LINOLEUM AND OTHER HARD SURFACE FLOOR COVERINGS, NSPF
  3999    | MANUFACTURED ARTICLES, NSPF
  3X      | MANUFACTURED COMMODITIES NOT IDENTIFIED BY KIND
  3XX     | MANUFACTURED COMMODITIES NOT IDENTIFIED BY KIND
  3XXX    | MANUFACTURED COMMODITIES NOT IDENTIFIED BY KIND
  9       | OTHER COMMODITIES
  91      | SCRAP AND WASTE
  910     | SCRAP AND WASTE
  9100    | SCRAP AND WASTE
  92      | USED OR SECOND-HAND MERCHANDISE
  920     | USED OR SECOND-HAND MERCHANDISE
  9200    | USED OR SECOND-HAND MERCHANDISE
  98      | GOODS IMPORTED FROM CANADA AND RETURNED TO CANADA WITHOUT HAVING BEEN ADVANCED IN VALUE OR IMPROVED IN CONDITION OR COMBINED WITH OTHER ARTICLES
  980     | GOODS IMPORTED FROM CANADA AND RETURNED TO CANADA WITHOUT HAVING BEEN ADVANCED IN VALUE OR IMPROVED IN CONDITION OR COMBINED WITH OTHER ARTICLES
  9800    | GOODS IMPORTED FROM CANADA AND RETURNED TO CANADA WITHOUT HAVING BEEN ADVANCED IN VALUE OR IMPROVED IN CONDITION OR COMBINED WITH OTHER ARTICLES
  99      | SPECIAL CLASSIFICATION PROVISIONS, NSPF
  990     | SPECIAL CLASSIFICATION PROVISIONS, NSPF
  9900    | SPECIAL CLASSIFICATION PROVISIONS, NSPF
          |
********************************************************************************
* Questions: Foreign Trade Division, U.S. Census Bureau, Washignton, DC 20233  *
* E-mail   : ftdwebmaster@ccmail.census.gov                                    *
********************************************************************************
Published:  December 29, 1999
