Shipper,Consignee,Shipments,Tons,BOL_Count
Liebherr Brasil Industria E Comerci,Alianza Logistica Yenam S.C.,2,45.5,2
Cfl Europe,B&M Logostics Sp A,1,45.5,1
Cooperative Agricole Copag,Esu Farm Llc,2,45.47,2
Renault S.A.S.,Eurocar Ltd.,6,45.46,6
"Bridge Co., Ltd.",Roland Cobb Iii Tkc Commercial,4,45.46,4
Jen Corp.,Pacific Rim Equipment Inc.,6,45.44,6
Uni International America Corp.,Takatrans Kft,2,45.42,2
Doubleday Group,North Country Tractor,3,45.4,3
Ds 18,Valaris,3,45.4,3
"Yanagawa Shoji Co., Ltd.",Mauricio Ibarguengoitia Villanueva,2,45.4,2
Bayerische Motoren Werke Ag,F&B Automotive Art Inc.,2,45.4,2
Kaede,Tsubaki,2,45.38,2
Ritchie Bros Auctioneers (Japan) K.,Ritchie Bros. Auctioneers Inc.,2,45.36,2
Expandable B.V.,Hankook Motorsports,2,45.36,2
Nammo Palencia S.L.,Olin Winchester Corp.,6,45.36,6
Exportadora De Cafe California S.A. De C.V.,United Logistic Services B.V.,2,45.34,2
Farrell Lines,0189 Cs Bn Co B0 Rear Det,2,45.32,2
Automobiles Peugeot,Grupo Q Investments S A,14,45.28,14
Carnival Cruise Lines,Century Ship Service,39,45.27,39
Cargotec Finland Oy,Kalmar Usa Inc.,5,45.25,5
Bergerat Monnoyeur,Global Construction Equip.,3,45.24,3
"Toyota Motor Thailand Co., Ltd.",Cofino Stahl Y Compania,4,45.22,4
M.E.C. Srl Meccanica Alfonsine,Czm Usa Corp.,2,45.2,2
Radar Process S.L,Pladis North America Inc.,2,45.2,2
"Takumi Sansho Co., Ltd.",Oac Equipment Corp.,2,45.18,2
Dieci S.R.L.,Strabag Inc.,2,45.12,2
"Trade Master Co., Ltd.",Jdmhawaii Llc,56,45.1,56
Naxco Antwerp,Manoir Industries Inc.,1,45.09,1
Carnival Cruise Lines,Wartsila,19,45.07,19
Bobcat France,Agco Australia,2,45.0,2
Spencer 69 Llc,Spencer 69 Llc,1,45.0,1
Nite Oil,Royal Petroleum Corp.,1,45.0,1
Combilift Ulc,Highlander Equipment,2,45.0,2
Riviera Australia (Pty) ) Ltd.,Bay Marine,2,45.0,2
Gkn Fokker Aerostructures,Gulfstream Aerospace,6,45.0,6
Peinemann Equipment B.V.,Brown & Root,2,45.0,2
Andritz Hydro Srl,Andritz Sa De Cv,1,45.0,1
Ntg Projects,Ntg Projects A S,2,45.0,2
Nora International Forwarding Co.,Cargo S. De Mexico S.A. De C.V.,2,45.0,2
Silver Dawn,Inchcape Shipping Services,1,45.0,1
Gtd Group Ltd.,Gtd Desco Inc.,2,45.0,2
Peinemann Equipment B.V.,Ferrostaal Chile S A C,2,45.0,2
Dhl Global Forwarding (France) Sas,Supercal Equipment Volvo Trucks,4,44.94,4
Kia,Rudisa Motor Co. Nv,12,44.92,12
Tote Maritime Puerto Rico,Tote Maritime Puerto Rico,5,44.910000000000004,5
Kg Logistics,Ntg Air & Ocean Llc,2,44.9,2
"Be Forward Co., Ltd.",Brent Robinett,32,44.89,32
"Royal Trading Co., Ltd.",Emmanuel Arroyo,36,44.86,36
ArcelorMittal,Macsteel Internationalusa Corp.,1,44.82,1
Caf Mexico Sa De Cv,Virtus Projects And Global Logistic,14,44.800000000000004,14
Flm Sa ( (Pty) ) ) Ltd. T A Fvc Internat,Fresh Taste Produce Usa.,2,44.8,2
Newport Investments Ad,Viking Stars Llc,2,44.8,2
Tci International Logistics B.V.,Stephenson Equipment Inc.,2,44.8,2
Eisenbau Kraemer Gmb H,Interpipe,2,44.8,2
Ssab Emea Ab,Northern Plains Steel Co.,4,44.78,4
Kia Motors Mexico S.A. De C.V.,Kidde Argentina S.A.,2,44.78,2
Q4000,Hess Corportation,1,44.77,1
Office Watanabe,"Bahamas Bus And Truck Co., Ltd.",4,44.760000000000005,4
Hamm Ag,Wirtgen New Zealand,2,44.76,2
Spares In Motion Inc.,Naps Wind Lp,1,44.75,1
Svq Gmb H,American Siepmann Corp.,3,44.7,3
Kreisel Gmb H & Co Kg,Heidelberg Materials Ltd. Ssc,1,44.7,1
Pernod Ricard Ricard Mexico Sa De,Pernod Ricard Espana Carretera,1,44.68,1
Ssab Oxelosund Ab,Machine Shop Services Llc,6,44.66,6
Yangzhou Americantec Imp. & Exp.,Yangli Mexico S De Rl De Cv,1,44.62,1
Kisan Oleochem And Derivat,Charlotte Chemical International,2,44.59,2
"Be Forward Co., Ltd.",Iyke Moore,33,44.55,33
Vinicola Del Norte,Ballester Hermanos Inc.,18,44.54,18
Ruedinger Spedition Gmb H,Rh Shipping And Chartering,6,44.54,6
"Hyundai Glovis Co., Ltd.",Bank Of Nova Scotia,6,44.480000000000004,6
Movas Global,Aaron Rideout Aaron,28,44.46,28
Ssab Emea Ab,Quadco C O Bolduc Leroux Inc.,2,44.46,2
Olam Vietnam Ltd.,Olam Americas Inc.,4,44.459999999999994,4
Siderca Saic,Tenaris Global Services (Canada) In,1,44.44,1
Rohlig Espana S.L.,Rohlig Mexico S.A. De C.V.,1,44.44,1
Komatsu Used Equipment Corp.,Sky City Trucking Llc,4,44.400000000000006,4
Delta Petroleum (Caribbean) Ltd.,Tropigas De Puerto Rico Inc.,4,44.4,4
Beni Mellal Citrus,Esu Farm Llc,1,44.33,1
Nissan Mexicana S.A. De C.V.,Bravo Investment Ltd.,8,44.32,8
Beni Mellal Citrus,Jac Vandenberg Inc.,2,44.32,2
Bayerische Motoren Werke Aktiengese,Alvarez Barba S.A.,8,44.32,8
Jdm Concierge,Mark Hoogendoorn,30,44.28,30
Mitsui & Co. Steel Ltd.,Mitsui & Co Usa Inc.,1,44.25,1
Rocket Tanzania Ltd.,Archer Uk Ltd.,2,44.24,2
Bis 67 Trasporti Multimediali Sp A,Hitachi Rail Usa Inc.,2,44.24,2
Emirates Aluminium (EGA),Pilkington North America Inc.,2,44.22,2
Ssab Emea Ab,Chapel Steel,2,44.2,2
Hitachi Rail Italy Sp A,Hitachi Rail Usa Inc.,2,44.2,2
Providence Exp. S.A,Star Produce Us Lp,3,44.160000000000004,3
Agrofruta Ltda,Tastyfrutti International Inc.,3,44.160000000000004,3
Wilco Machinery Bv,Cleveland Brothers Equipment Co.,4,44.15,4
Globe Trotter 1,Murphy E&P,2,44.14,2
Magyar Suzuki Corp. Ltd.,Banque De Polynesie,4,44.120000000000005,4
Pernod Ricard Mexico S.A. De C.V.,Pernod Ricard Espana Carretera,1,44.12,1
Cargotec Poland Sp. Z O.O.,Mitsubishi Logisnext Americas (Houston) Inc.,2,44.12,2
Bmwag,Atkins Kroll Inc.,2,44.1,2
"Sbt Co., Ltd.","Bahamas Bus And Truck Co., Ltd.",24,44.1,24
Gva Krefeld Gmb H,Tms International Llc,1,44.09,1
Aurum Freight International Ltda,Ctc Logistics Srl,2,44.08,2
Ssab Emea Ab,Ryerson,4,44.08,4
Flexsys Chemicals Belgium Nv,Flexsys America L.P.A Subsidiary Or,2,44.08,2
Koscom Corp.,Vision Motorsports Inc.,33,44.02,33
Cobus Industries Gmb H,Powdr Corp.,2,44.0,2
Ashcourt Plant Ltd.,Intl Construction Equipment,2,44.0,2
Homar Bv,Crane Specialists Inc.,1,44.0,1
Josef Gartner Gmb H,New Hudson Facades,2,44.0,2
Remorques Louault,Epc,2,44.0,2
Worldwide Nexus,Naviera Meximares S.A. De C.V.,2,44.0,2
Bojux,Kennys Funland Llc Johnny Maples,2,44.0,2
Eggersmann North America Gmb H,Quality Fleet Service Inc.,2,44.0,2
Adani Wilmar Ltd.,Alnor Oil Co. Inc. 70 E. Sunrise,2,44.0,2
Hesnault Sas,Tahiti Transit,2,44.0,2
Hidroliksan Halim Usta Dis Ticaret,Revolution Machine Tools,1,44.0,1
Emag Salach Maschinenfabrik Gmb H,Emag L.L.C.,2,44.0,2
Nikolaus Bagnara Sp A,Broad River Quarries L.L.C,2,44.0,2
Bojux Com S.R.O.,Rainbow Amusement Co Inc.,2,44.0,2
Blend Plants,Construction And Mining Services,2,44.0,2
Kia,Corporacion Jaar S De R L,4,43.900000000000006,4
Casale Sa,Cf Industries Nitrogen Llc,1,43.89,1
Ssab Europe Oy,Ssab Central Inc. Stock Sales,2,43.88,2
Bulk Tainer Logistics,Bulk Tainer Logistics Usa,2,43.88,2
Mccloskey International Ltd.,T & O Realty Associates Llc Dba Tor,2,43.88,2
Mchale Engineering,Matsqui Ag Repair,3,43.86,3
Komatsu Forestry Ltd.,Pelletier Timber Harvesting Inc.,2,43.82,2
Audi Mexico S.A. De C.V.,"Meister Technik Co., Ltd.",2,43.82,2
Scarab Sweepers Ltd.,Fes Americas Llc,4,43.8,4
Komatsu Industries Corp.,Applied Technical Services Inc.,1,43.8,1
Siemens Ag Energy,Siemens Energy Inc. Steam Turbine,1,43.8,1
Shawcor Norway As,Mcdermott International,2,43.78,2
W90 Wv9,W91 Ngy,1,43.72,1
Ferro Umformtechnik,Grove Us. L.L.C.,9,43.690000000000005,9
Ssab Emea Ab,Franklin Fastener C O,2,43.68,2
Sociedad C&L Frut Sp A,Bengard Marketing Inc.,4,43.68,4
Motive Rentals Ltd.,Motive Spooling And Inspection Llc,1,43.67,1
Valley Of Peace Farms Ltd.,New Fashion Pork Llp,1,43.66,1
Bertrams Chemical Plants Ltd.,Westlake Us 2 Llc,1,43.63,1
"Amada Press System Co., Ltd.",Cablofil,2,43.6,2
"Saic Motor International Co., Ltd.",Massy Motors (Guyana) Ltd.,2,43.58,2
Liebherr France,Liebherr Canada,2,43.56,2
"Jan's Sakura Trading Co., Ltd.",Oishii Imp. Llc,17,43.55,17
Pacific Coast Auto Imp.,James Phillips,15,43.52,15
Jilin Qixing Aluminum Industries Co.,Alstom,5,43.5,5
Adani Wilmar Ltd.,Polyset Co. Inc.,2,43.5,2
"Hd Hyundai Infracore Co., Ltd.",Sanval Fine Mexico Sa De Cv,2,43.5,2
Irish Mfg. Services Ltd.,Resource Machinery & Engineering,3,43.5,3
Prorganica S.A.,Sea Shipping Lines,1,43.48,1
Mercedes Benz Canada Inc.,Mercedes Benz,2,43.48,2
Enterprise 264,Enterprise,5,43.47,5
"Tpt Pacific Co., Ltd.",Sumika Semiconductor Materials Texa,1,43.45,1
Russula S.A.U.,Russula Corp.,3,43.440000000000005,3
Nordic Callao,Intergulf Corp.,1,43.43,1
Pal Srl,Steves Sons,2,43.4,2
Altius Sa (Bilbao),Cotrans S.A.,1,43.38,1
Hunan Sanyi Huayuan Machinery Co L,Sany America Inc.,2,43.349999999999994,2
ArcelorMittal,Harmer Steel Products Co.,2,43.34,2
Cia.Frutera Santa Maria S.A.,Grapeco Farms Inc.,2,43.34,2
Hirata Corporation,General Motors Corp.,3,43.32,3
West Neptune,Llog,2,43.32,2
Mastenbroek Ltd.,Port Industries Inc.,2,43.3,2
"Yangzhou Chengde Steel Pipe Co., Ltd.",Tioga Pipe,3,43.28,3
Cafe De Mi Pueblo International,Aziende Riunite Caffe Sp A,2,43.24,2
Volkswagen Ag,Sia Ste D Importation Automobile,4,43.24,4
Laika Caravans Sp A,Toy Factory Co. Inc.,5,43.23,5
Tristao Companhia De Comercio,American Global Logistics Llc,2,43.22,2
Brascof Ltda,American Global Logistics Llc,2,43.22,2
"Nippon Steel Trading Co., Ltd.","Tempel De Mexico, S. De R.L. De C.V.",1,43.21,1
Ngk Stockler Ltda,Rothfos Corporation,1,43.21,1
Mt Nord Mirai,Valero,1,43.2,1
"Sinotruk International Co., Ltd.",Arawak & Co.,2,43.2,2
Klk Industria E Comercio De Madeira,Dantzler Inc.,1,43.19,1
Nippon Trader,Marc Steve Auto Sales Ltd.,39,43.17,39
Ukroliya Ltd.,Cho America Inc. Cho Amerique Inc.,1,43.17,1
Sichuan Liuhe Special Metal Materia,Ge Power,2,43.14,2
Blue Water International A S,Yowell International,1,43.13,1
Del Trading Inc.,Posco Mppc S.A. De C.V.,1,43.13,1
Fca International Operations Llc,Vph Sur Llc Dba Triangle Motors De,4,43.12,4
Hyundai Mobis,Ideal Autos Inc.,6,43.1,6
"Keonwoo Metals Co., Ltd.",Tioga Pipe,1,43.07,1
Intersupply Corp.,Intersupply Corp. S.A.S,1,43.07,1
Mt Chem Bulldog,Reworld Waste,1,43.0,1
Blohm Maschinenbau Gmb H,United Grinding North America Inc.,4,43.0,4
Bernard Van Lengerich,New Holland Hft Japan Inc.,8,43.0,8
Blue Water Shipping A S,Vantage Freight Services (Pty) ) Ltd.,1,43.0,1
Mineralteknikk As,Omnia Machinery Usa Inc.,1,43.0,1
Riviera Australia (Pty) ) Ltd.,Bestboats Exclusive Motoryachts,2,43.0,2
Disa Industries A/S,Disa Industries,1,43.0,1
Subsea 7,Subsea 7 (Us) Llc,1,43.0,1
"Magari Japan Co., Ltd.",Gear One,10,42.980000000000004,10
"Yamada Dobby Co., Ltd.",Ambrogio North America Llc,2,42.94,2
Audi Ag,To Avelino Abreu S.A.S. Aut. Duar,2,42.9,2
Jord International Inc.,Ge Vernova Operations Llc,1,42.9,1
Tgi Cargo (Pty) ) Ltd.,American Cargocare Inc.,2,42.88,2
"A&G Hansol Motors Co., Ltd.",Kcrd Auto Imp. Srl .,2,42.88,2
Hyundai Motor India Ltd.,Deshon Y Cia Hyundai,6,42.839999999999996,6
"Ace Metal And Powertech Co., Ltd.",Ofshipper,2,42.82,2
Mt Medtech Engineering Gmb H,Nanotherm Therapeutics Inc.,2,42.8,2
Safan Bv,Safan Darley N.A. Llc,2,42.8,2
Toyota Tsusho Corporation,Trading International Group (Tic),2,42.78,2
Samsung C And Tcorporation,Qssc S.A. De C.V.,2,42.76,2
Stora Enso Oyj,84 Lumber,2,42.76,2
"Jiangyin Xing Cheng Special Steel Works Co., Ltd.",Structural Wear Products,2,42.68,2
Ssab Oxelosund Ab,Ideal Steel Inc.,2,42.68,2
Oshkosh Jlg (Tianjin) Equipment,Reid & Compania C Por A,4,42.66,4
At Construction Services Llc,Pizarro Pile Inc.,1,42.64,1
Ssab Emea Ab,Air Flo Mfg. Co. Inc.,2,42.62,2
Nanjing Gangshuo Metal Material Co.,Carbones Del Cerrejon Ltd.,2,42.6,2
Flemings Transport Inc.,Liferafts Inc.,4,42.6,4
Hyster Yale Nederland B.V.,Liftone Llc,2,42.6,2
Real Auto B.V.,Virgin Island Motors,16,42.6,16
Hyundai Construction Equipment Co.,Unibank S.A Port Au,2,42.56,2
Seah Besteel Corp.,Bill Forge De Mexico,2,42.54,2
Royal Jordanian Air Force,0101 Sc Bn Co A0 Rear Det,6,42.52,6
Cmpc Pulp S.A.,Man Energy Solutions Usa Inc.,1,42.5,1
Hf Mixing Group Harburg,Goodyear Tire & Rubber Co.,1,42.5,1
Scania Cv Ab,Leidos Inc.,2,42.5,2
Kraken Subsea Ltd.,Subsea 7 (Us) Llc,2,42.44,2
Industrias Electromecanicas Magnetron S.A.S,Siemens Gamesa Renewable Energy,4,42.42,4
Kia,To Scotiabank Trinidad Tobago Ltd.,2,42.4,2
Inheung Industry,Hyundai Power Transformers Usa,2,42.4,2
Flsmidth Mining Technologies Gmb H,Nevada Gold Min,2,42.4,2
Marine Procurement Ltd.,Laship Llc,2,42.4,2
Norton Lilly International,Norton Lilly International,12,42.4,12
Comercial El Camino Ltda,William H. Kopke Jr. Inc.,1,42.39,1
Isuzu Motors International Operatio,Emilio J.Jaar & Cia. S. De R.L.,2,42.38,2
Elwema Automotive Gmb H,Flint Engine South 15,2,42.38,2
"Unet Co., Ltd.",Revhard Motors Llc,22,42.38,22
Citrus Med,Classic Harvest Llc,1,42.38,1
Mercedes Benz Amg Gmb H,Emirates Aluminium (EGA),2,42.34,2
"Daming Heavy Industry Co., Ltd.",Newmont Usa Ltd.,1,42.34,1
Ncl (Bahamas Ltd.),Viking Life Saving Equipment Inc.,20,42.33,20
Comsma,Geodis Wilson Nouvelle Caledonie,6,42.32,6
Daimler Truck Ag,Tahiti Automobiles Sa,4,42.3,4
Svifflug S. De R.L. De C.V,Plaza Extra East,2,42.28,2
Farrell Lines,Fe2805 412 Lrs Lgrm,2,42.28,2
Iconic Marine Group,Iconic Marine Group,4,42.260000000000005,4
Alleima Cz Spol. S R.O.,Onesubsea,4,42.26,4
Mazaria S.A.R.L,William H. Kopke Jr. Inc.,1,42.26,1
Ncl (Bahamas Ltd.),Island Production Inc.,1,42.25,1
"Okaya & Co., Ltd.",Serviacero Planos S De Rl De Cv,1,42.25,1
Saipem Guyana Inc.,Technip Usa Inc.,1,42.24,1
Caterpillar S.A.R.L.,Caterpillar Japan Ltd.,2,42.24,2
Inchcape Caribbean Inc.,Bayview Motors Ltd.,10,42.21,10
Prinoth Gmb H,Quality Equipment And Parts Inc.,2,42.2,2
Mchale Engineering Ltd.,Idec,2,42.18,2
"Carpaydiem Co., Ltd.",Kenny Spears,46,42.18,46
Linde Material Handling Gmb H,Select Equipment Sales Inc.,1,42.18,1
Wsk Pzl Swidnik' Spolka Akcyjna,Agusta Aerospace Corp,26,42.160000000000004,26
"Matrix Life Science Pvt., Ltd.",Matrix Life Science Inc.,1,42.16,1
Empire Teas (Pvt.) Ltd.,Green Shutter Teas,2,42.16,2
Mazaria S.A.R.L,Tom Lange Co International Dba Seven Seas,1,42.15,1
Fca International Operations Llc,Autohaus Jakob Gmb H,2,42.12,2
Auxiliar Laminadora Alavesa S.A.,Crane Specialties,1,42.1,1
"Korea Steel Co., Ltd.",Nassco National Steel And,1,42.1,1
"Wuu Jing Enterprise Co., Ltd.",Excel Metals Llc,1,42.08,1
Emde Bohrtechnik Gmb H,Keller North America In,7,42.08,7
Ginga Jaguar,Texas Marine Agency Inc.,2,42.0,2
Sessa Marine Srl,Skyline Marine,4,42.0,4
Florida Maritime Trade Group Obo,Djl Properties Llc,2,42.0,2
Qingdao Jit International,Bridgea Expressa Corpa A,4,42.0,4
Allreco,Ecoverse Industries Ltd.,2,42.0,2
Heinrich Schroder Landmaschinen Kg,"Mft Co., Ltd.",2,42.0,2
F.D.Transportation Gmb H,Rides Llc,2,42.0,2
Technical Park S.N.C. Di Martini,Palace Playland Associates Llc,1,42.0,1
Carbo Force,Co2 Sync Llc,1,42.0,1
Nedtrax B.V.,Global Construction Equip.,2,42.0,2
Howco Group Plc,Technipfmc Guyana Inc.,1,41.99,1
Fca Us Llc,Al Mukhtar International Co. Fo,2,41.98,2
"A.A.N. Japan Co., Ltd.",Factory Right Hand Drive Llc,12,41.94,12
0126 Av Bn 03 Co C Det 2,0126 Av Bn 03 Co E Det 3 Rear,3,41.92,3
Arcelor Mittal Commercial Rps S.A.R.L.,Crown Steel Rail Co.,1,41.92,1
Nippon Trader,R B Auto Co.,31,41.9,31
Hitachi Zosen Fukui Corporation,Unipres Mexicana Sa De Cv,1,41.89,1
Comsma,Geodis Wilson Polynesie,10,41.879999999999995,10
Voestalpine Stahl Service Center Gmb H.,Blair Strip Steel,1,41.87,1
Odfjell Tankers As,Odfjell Tankers As,77,41.86,77
Dmv France Sas,Dmv Usa Inc.,2,41.86,2
Maeda Seisakusho,Maeda America Inc.,2,41.86,2
Provide Cars Ltd.,Anguel Mantchev,31,41.839999999999996,31
Altimus Tech Sp. Z O. O. Lietuvos F,United States Air Force,1,41.81,1
Royal Caribbean Cruise,Reverie Films Llc,6,41.809999999999995,6
"Diesel Trading Co., Ltd.",State Machinery,2,41.8,2
"Diesel Trading Co., Ltd.",Pnc Bank National Association,2,41.8,2
"Kenki World Co., Ltd.",Pnc Bank National Association,2,41.8,2
Gosho Industrial Co Ltda,"Machinery Management Co., Ltd.",2,41.8,2
Caterpillar Brasil Ltda.,Battlefield Equipment Rentals,12,41.72,12
Hyster Yale Nederland B.V.,Tattersall Maquinarias S.A.,2,41.7,2
Caterpillar S A R L Singapore,Morton Distribution Center,6,41.660000000000004,6
Yueqing Yimai International Trade C,Hiwin Technology Inc.,1,41.64,1
Circular Group Ltd.,110 Sand Co.,2,41.64,2
"Be Forward Co., Ltd.",Emirates Aluminium (EGA),29,41.62,29
Hyundai Corp. (Usa) Houston,Roberto Montemayor Gutierrez,2,41.62,2
Farrell Line,Usa Depot Letterkeny,2,41.62,2
Arag Bau Ag,Ice International Construction Equi,2,41.6,2
Huette Bohrtechnik Gmb H,Center Rock Mason Dixon,2,41.6,2
"Jinsung Plt Co., Ltd.",Lg Energy Solution Michigan Inc.,2,41.6,2
Prima Equipment Bv,Rockville Metals,1,41.58,1
Mecof Srl,Emco Corp.,1,41.58,1
Okuma Corp. Service Division,Okuma America Corporation,8,41.55,8
Jouma Pack,Imex Agro Inc.,2,41.55,2
Mitsubishi Heavy Industries Machine,Mitsubishi Logistics America,5,41.5,5
Cast Con Engineering,Fulton Mill Service Co.,1,41.5,1
"Hanwha Techwin Co., Ltd.",Hanwha Defense Usa,1,41.5,1
Flare Corp.,Bidadoo Inc.,3,41.5,3
"Nikkyo Co., Ltd.",Define Motors Inc.,48,41.5,48
Hanseyachts Ag,One Ocean Yachts,4,41.480000000000004,4
"Enhance Auto Co., Ltd.",Elite Vancouvermotors,4,41.44,4
Finca Monte Azul S.A De C.V.,Coffein Compagnie,2,41.42,2
Louis Dreyfus Co. Mexico,Coffein Compagnie,2,41.42,2
"Agroindustrias Unidas De Mexico, S.A. De C.V.",Ing Belgium,2,41.42,2
Compania Hondurena Del Caf,Keurig Green Mountain Inc.,2,41.42,2
Borcelik Celik Sanayii Ticaret,Jordan International Co.,1,41.41,1
Sogo Corporation,Commodity International Ltd.,2,41.4,2
"Kenki World Co., Ltd.",Mauricio Ibarguengoitia Villanueva,2,41.4,2
"Toyokami Co., Ltd. Pic Tatsuta",Gmz Sales And Logistics Inc.,2,41.4,2
"Onaga Shoji Co., Ltd.",Pnc Bank,2,41.4,2
"Toyokami Co., Ltd.",Landum Industria,2,41.4,2
"Onaga Shoji Co., Ltd.",Shasan Comercializadora S.A. De C.V,2,41.4,2
"Toyota Motor Thailand Co., Ltd.",Corporacion Flores S.A.,2,41.4,2
"Shinko Rental Co., Ltd.",Oac Equipment Corp.,2,41.4,2
Jord Equipment B.V.,Empire Cat,1,41.4,1
Sogo Corporation,Commodity International,2,41.4,2
"Lubrizol India Pvt., Ltd.",Stolt Tank Containers,2,41.35,2
"Koyo Trading Co., Ltd.",Ken Ahlstrom Hwi,18,41.34,18
Amurrio Ferrocarril Y Equipos S.A.,Systec S A,2,41.3,2
Pt . Hyundai Motor Mfg. Id,To Grupo Q Guatemala S.A.,2,41.29,2
Engel Austria Gmb H,Magna Mirrors Of America,2,41.26,2
"X Riders Co., Ltd.",Motorcycle Warehouse Inc.,6,41.22,6
Clem2 B,William H. Kopke Jr. Inc.,2,41.21,2
Hyundai Steel Co.,Am/Ns Calvert Llc,1,41.21,1
"Onaga Shoji Co., Ltd.",Atlas Machinery,2,41.2,2
Zoomlion Anhui Industrial Vehicle C,Caribe Maquinter,1,41.2,1
"Katagiri Trading Co., Ltd.",State Machinery,2,41.2,2
Tracsa Sa De Cv,Maquinaria Y Tractores Ltda,2,41.2,2
"Nikkyo Machinery Co., Ltd.",Millar Tractors Ltd.,2,41.2,2
"Nippon Trading Co., Ltd.",Yoder & Frey Llc,2,41.2,2
"Katagiri Trading Co., Ltd.",Atlas Machinery,2,41.2,2
Kenki Worldco. Ltd.,Mauricio Ibarguengoitia Villanueva,2,41.2,2
"Katagiri Trading Co., Ltd.",Tracks World Wide,2,41.2,2
Zentis Fruchtwelt Gmb H & Co.Kg,Zentis North America Llc,4,41.18,4
Caterpillar Americas C.V.,Gecolsa Y O Alsertec S A S,2,41.16,2
Cooperative Agricole Copag,Andean Sun Produce Llc,1,41.15,1
Providence Exp. S.A.,Grapeman Farms,2,41.15,2
Wazo Packaging,Andean Sun Produce Llc,1,41.14,1
"Onaga Shoji Co., Ltd.",Jr Equipment. Llc,2,41.14,2
Poly Plast Chemi Plants (I) Pvt. Lt,Tcl Specialties Llc,1,41.13,1
Welser Profile Gmb H,Welser Profile North America Llc,1,41.12,1
Pemtec Snc,Rm Group Holdings Llc,2,41.1,2
"Japan Express Co., Ltd.",Kathryn Sandifer Llc,4,41.1,4
Ssab Emea Ab,Air Flo C O Feralloy Processing,2,41.1,2
Genimex Jersey Ltd.,Jolie Skin Co.,5,41.089999999999996,5
Agr Cola La Higuera Ltda,Capespan North America,3,41.08,3
Mccloskey International,Berry Tractor & Equipment Co.,1,41.05,1
Hyundai Motor India Ltd.,Carmax Srl .,2,41.04,2
Ssab Emea Ab,Sunderland Trucking Llc,4,41.04,4
Renault Truck Sa,Sodauto,16,41.04,16
Ssab Oxelosund Ab,Sunderland Trucking Llc,4,41.04,4
Kolmax Plus,Crescent City Amusement Llc,2,41.0,2
Cooperation Mfg. Plant,Saleh Al,4,41.0,4
Siem Dorado,Pxgeo Usa Inc.,1,41.0,1
Kolmax Plus S R O,Event Catering Inc.,2,41.0,2
Michael Burdge Ltd.,North Country Tractor,3,41.0,3
Sc Singapore,Intergulf Corp.,1,41.0,1
Kolmax Plus,Sgs Holdings Llc,2,41.0,2
Adige Sys Sp A,Bending Laser Machine Group Mexico,2,41.0,2
Kolmax Plus S R O,Mitchell Brothers And Son Inc.,2,41.0,2
Hanyoungcorporation Ltd.,Kip Steel Inc.,2,40.98,2
Ssab Emea Ab,Western Trailer C O Green Transfer,2,40.96,2
"Hyundai Glovis Co., Ltd.",Marcas Diesel S De Rl De Cv,4,40.92,4
Princess Cruises,Wartsila North America Inc.,23,40.9,23
"Japanmotor Co., Ltd.",Jie Kuang,12,40.9,12
Dodaac Cage W91 Sr3,Dodaac W587 Jh,1,40.84,1
"Changan Ford Automobile Co., Ltd.",Motor City Solutions Inc.,2,40.84,2
General Motors De Mexico S.A. De C.V.,Real Auto B.V.,12,40.839999999999996,12
Hd Hyundai Construction,Cnh Industira America Llc,2,40.83,2
"Polyhose India Pvt., Ltd.",Oshkosh Aerotech,1,40.82,1
Carnival Cruise Lines,Wartsila Canada Inc.,10,40.8,10
Erema,Efs Plastics Us Inc.,2,40.8,2
"Diesel Trading Co., Ltd.",Evergreen Tractor Llc,2,40.8,2
"Mitsui & Co., Ltd.",Shima American Corp,1,40.79,1
Powergear Ltd.,Ge Co.,1,40.78,1
Mico Machines Inc.,Smitma Bv,2,40.72,2
Dowell Schlumberger De Mexico S.A.,Schlumberger Logelco Inc.,1,40.7,1
Sampo Rosenlew Oy,Kincaid Equipment Mfg.,4,40.7,4
Concept Laser Gmb H,Ge Aviation,2,40.68,2
C.I Indutrade Colombia S.A.S.,Norel Animal Nutrition Usa Inc.,2,40.68,2
"Be Forward Co., Ltd.",Darren Taylor,50,40.67,50
"Morooka Co., Ltd.",Baileys,2,40.66,2
Rj & Kd Mclean Ltd.,B & W Custom Farming,4,40.66,4
Agricola Sicor S.A.,David Oppenheimer Co.,2,40.63,2
Cn Qingdao Luyang International,Shanghai Resources S.A De C.V.,1,40.63,1
Shanghai Welton Shipping Co. Inc.,Welton Shipping Co. Inc.,1,40.6,1
Aprojects Austria Gmb H,New World Shipping,2,40.6,2
"Efacec Energia, Maquinas E Equipamentos Electricos, S.A.",Efacec Chile S.A.,2,40.6,2
"Onaga Shoji Co., Ltd.",Mncr Arrendadora Sa De Cv,2,40.6,2
Sund Birsta Ab,Mnp Corporation,2,40.6,2
Farrell Line,W8 Tt Ca Arng Mates 1,2,40.58,2
Semences Prograin Inc.,3 For 8 Trading International,1,40.5,1
Kaercher Floor Care Srl,Kaercher Municipal North America Co.,5,40.5,5
Ssab Oxelosund Ab,Dew Eng And Development,2,40.5,2
"Yoshiura Co., Ltd.",Millar Tractors Ltd.,1,40.46,1
Outokumpu Stainless Ab,Samuel & Son Co. Inc.,2,40.46,2
"Japan Global Gateway Co., Ltd.",Alfa Motors Inc.,7,40.459999999999994,7
General Motors Powertain,Fca International Operations Llc,2,40.42,2
