Entity_Name,Port_of_Loading,Port_of_Discharge,HS2,HS4,Total_Tons,Shipment_Count,Goods_Keywords,Confidence_Score
Irving Oil,"Saint John, Nb, Canada","Baltimore, Maryland",27.0,2710.0,409854.0,55,"42, 000 BBLS ROOFING FLUX 42, 000 BBLS ROOFING FLUX 64, 476. 95 BBLS ASPHALT PG 58-28 84, 000 BBLS ROOFING FLUX 39, 000 BBLS ASPHALT 84, 000 BBLS ROOFING FLUX 42, 000 BBLS ROOFING FLUX 42, 000 BBLS ROOFING FLUX 42, 000 BBLS ROOFING FLUX 26, 000 BBLS ROOFING FLUX",554.1
Chevron,"Pajaritos, Mexico","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,3391755.06,52,"510, 131. 76 BBLS GSV@60F ISTHMUS CRUDE OIL API 510, 131. 76 BBLS GSV@60F ISTHMUS CRUDE OIL API 470, 571 BBLS GSV@60F ISTHMUS CRUDE OIL AP 478, 385 BBLS ISTHUMUS CRUDE OIL 479, 234 BBLS ISTHMUS CRUDE OIL 493, 546 ISTHMUS CRUDE OIL 488, 437. 20 BBLS ISTHMUS CRUDE OIL / 65, 810. 16 MT 468, 248 BBLS GSV@60F ISTHMUS CRUDE OIL API 34 492, 930 BBLS ISTHMUS CRUDE OIL 488, 437. 20 BBLS ISTHMUS CRUDE OIL / 65, 810. 16 MT",553.9
Martin Marietta,"Auld's Cove, Ns, Canada","Tampa, Florida",68.0,6802.0,2908328.0,52,CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE,549.1
PBF Energy,"Freeport, Grand Bahama I, Bahamas","Port of Wilmington, Wilmington, Delaware",27.0,2709.0,1423445.88,53,"CPC BLEND CRUDE OIL 3% - BASRAH MEDIUM CRUDE OIL 97% 116, 000 BBLS CPC BLEND CRUDE OIL 3% - BASRAH MEDIUM CRUDE OIL 97% 12, 000 BBLS BASRAH MEDIUM CRUDE OIL 190, 258 BBLS CPC BLEND CRUDE OIL 74134 BBLS 170, 000 BBLS CPC BLEND CRUDE OIL 338, 363. 96 BBLS CPC BLEND CRUDE OIL 169, 688. 96 BBLS CPC BLEND CRUDE OIL 140, 779. 22 BBLS MOLO CRUDE OIL 324, 661. 12 US BBLS CPC BLEND CRUDE OIL CPC BLEND CRUDE OIL 389, 169 BBLS",544.2
Chevron,"High Seas,North Pacific","The Port of Los Angeles, Los Angeles, California",27.0,2709.0,2348841.92,52,"UNITY GOLD CRUDE OIL 544, 928 BBLS CHAZA CRUDE OIL 482, 092 BBLS UNITY GOLD CRUDE OIL 544, 928 BBLS CHAZA CRUDE OIL 482, 092 BBLS BASRAH HEAVY CRUDE OIL APPROX 300, 000 BBLS BASRAH HEAVY CRUDE OIL 138, 000 BBLS BASRAH HEAVY CRUDE OIL APROX. 300, 000 BBLS BASRAH HEAVY CRUDE OIL APROX 290, 000 BBLS BASRAH HEAVY CRUDE OIL APPROX 300, 000 BBLS BASRAH MEDIUM CRUDE OIL APROX. 250, 000 BBLS",543.5
Ecopetrol,"Covenas, Colombia","Houston, Houston, Texas",27.0,2709.0,4086276.78,49,"CASTILLA BLEND CRUDE OIL 1004798 BBLS 527, 855 BBLS/ 79, 584. 302 MT CASTILLA BLEND CASTILLA BLEND CRUDE OIL CASTILLA BLEND CRUDE OIL 502664 BBLS 604, 153 BBLS CASTILLA BLEND CRUDE OIL CASTILLA BLEND CRUDE OIL 502, 623 BBLS CASTILLA BLEND CRUDE OIL 505, 297 BBLS / 76, 444 MT CASTILLA CRUDE OIL CASTILLA BLEND CRUDE OIL 1004798 BBLS CASTILLA BLEND CRUDE OIL 502, 623 BBLS CASTILLA BLEND CRUDE OIL 506000 BBLS",530.9
Chevron,"Cayo Arcas, Mexico","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,3582032.34,49,"460, 654 BBLS GSV@60F MAYA CRUDE OIL API 21. 60 561, 019 BBLS 1 (ONE) LOT OF MAYA CRUDE OIL 484, 995 BBLS GSV@60F MAYA CRUDE OIL API 22. 00 MAYA CRUDE OIL 423940 BBLS 558, 126. 00 BBLS MAYA CRUDE OIL 551, 333 BBLS GSV @ 60F MAYA CRUDE OIL API 20. 460, 654 BBLS GSV@60F MAYA CRUDE OIL API 21. 60 561, 019 BBLS 1 (ONE) LOT OF MAYA CRUDE OIL 472, 767. 000 BBLS/ 69, 867. 622 MT MAYA CRUDE OI L 460, 654 BBLS GSV@60F MAYA CRUDE OIL API 21. 60",525.8
Irving Oil,"Saint John, Nb, Canada","The Port of Charleston, Charleston, South Carolina",27.0,2710.0,283140.0,52,"19, 000 BBLS ASPHALT 3, 000 BBLS ASPHALT 42, 000 BBLS ASPHALT 42, 000 BBLS ASPHALT 44, 000 BBLS ASPHALT ULTRA LOW SULPHUR DIESEL (27, 000. 00 U. S. BARRELS AT 60 DEG F) (3, 615. 998 METRIC TONS IN AIR) ULTRA LOW SULPHUR DIESEL (115, 000. 00 U. S. BARRELS AT 60 DEG F) (15, 401. 475 METRIC TONS IN AIR) 41, 000 BBLS ASPHALT 5, 000 BBLS ASPHALT 29, 000 BBLS ASPHALT",522.8
Valero,"Lianyungang, China","Port of New Orleans, New Orleans, Louisiana",15.0,1518.0,130706.69,51,"USED COOKING OIL (2, 856. 880 METRIC TONS IN AIR) USED COOKING OIL (1, 956. 100 METRIC TONS IN AIR) USED COOKING OIL (815. 580 METRIC TONS IN AIR) USED COOKING OIL (9, 203. 700 METRIC TONS IN AIR) USED COOKING OIL (645. 504 METRIC TONS IN AIR) USED COOKING OIL (492. 380 METRIC TONS IN AIR) USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL",511.3
Dubai Aluminium,"Abu Zabi, United Arab Emirates","Port of Vancouver USA, Vancouver, Washington",76.0,7601.0,26608.16,51,"PRIMARY ALUMINIUM 99. 89% MINIMUM ALUMINIUM IN EGA CODE 18900. SOW INGOT 680 KG PRIMARY ALUMINIUM 99. 90% MINIMUM ALUMINIUM IN EGA CODE 19004 (P0404A) SOW INGOT 680 KG TOTAL NO OF BUNDLES: 712 TOTAL NO OF PIECES: 712 TOTAL NET WEIGHT: 487. 501 MT TOTAL GROSS WEIGHT: 487. 501MT DELIVERY NO: 805856603 - 80585607 ITEM NO: 10 - 30, 310- 320 SO: 80729 SHIPMENT NUMBER: 178187 PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 65047 (EQUIVALENT TO AA6063) TOTAL NO OF BUNDLES: 441 TOTAL NO OF PIECES: 2, 205 TOTAL NET WEIGHT: 967. 736 MT TOTAL GROSS WEIGHT: 972. 136 MT DELIVERY NO: 80585620 - 80585631 ITEM NO: 10 - 120 SO: 80731 SHIPMENT NUMBER: 178188 PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 65047 (EQUIVALENT TO AA6063) TOTAL NO OF BUNDLES: 200 TOTAL NO OF PIECES: 600 TOTAL NET WEIGHT: 475. 369 MT TOTAL GROSS WEIGHT: 477. 128 MT DELIVERY NO: 80585670 - 80585674 ITEM NO: 70 -110 SO: 81090 SHIPMENT NUMBER: 178192 PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 65047 (EQUIVALENT TO AA6063) PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 69236 (EQUIVALENT TO SAPA 6061) TOTAL NO OF BUNDLES: 272 TOTAL NO OF PIECES: 2, 788 TOTAL NET WEIGHT: 519. 272 MT TOTAL GROSS WEIGHT: 521. 249 MT DELIVERY NO: 80585684 - 80585688, 80591134 ITEM NO: 000010, 50 - 60, 90 - 110 SO: 81112 SHIPMENT NUMBER: 178194 PRIMARY ALUMINIUM 99. 89% MINIMUM ALUMINIUM IN EGA CODE 18900. SOW INGOT 680 KG TOTAL NO OF BUNDLES: 715 TOTAL NO OF PIECES: 715 TOTAL NET WEIGHT: 491. 474 MT TOTAL GROSS WEIGHT: 491. 474 MT DELIVERY NO: 80585690 - 80585694 ITEM NO: 10 -5 SO: 81113 SHIPMENT NUMBER: 178195 PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 65047 (EQUIVALENT TO AA6063) TOTAL NO OF BUNDLES: 48 TOTAL NO OF PIECES: 240 TOTAL NET WEIGHT: 93. 425 MT TOTAL GROSS WEIGHT: 93. 813 MT DELIVERY NO: 80578594 ITEM NO: 000040 SO: 80229 SHIPMENT NUMBER: 178238 PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 65047 (EQUIVALENT TO AA6063) TOTAL NO OF BUNDLES: 56 TOTAL NO OF PIECES: 280 TOTAL NET WEIGHT: 178. 625 MT TOTAL GROSS WEIGHT: 179. 391 MT DELIVERY NO: 80588556 - 80588557 ITEM NO: 10 -20 SO: 80730 SHIPMENT NUMBER: 179052 PRIMARY ALUMINIUM 99. 90% MINIMUM ALUMINIUM IN EGA CODE 19004 SOW INGOT 680 KG 975 PCS PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA ALLOY 65047 2, 716 PCS PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA ALLOY 65047 69236",510.3
Valero,"Barao De Teffe, Brazil","Port of New Orleans, New Orleans, Louisiana",15.0,1502.0,122219.61,50,"BOVINE TALLOW - IN BULK 4, 422. 048 METRIC TONS BOVINE TALLOW - IN BULK 482. 095 METRIC TONS BOVINE TALLOW BOVINE TALLOW BOVINE TALLOW BOVINE TALLOW BOVINE TALLOW BOVINE TALLOW BOVINE TALLOW BOVINE TALLOW",501.2
PBF Energy,"Esmeraldas, Ecuador","Martinez, California",27.0,2709.0,1469300.6099999999,48,"12, 447. 01 BBLS ORIENTE CRUDE OIL ECUADORIAN ORIENTE CRUDE OIL ECUADORIAN ORIENTE CRUDE OIL 402, 353 BBLS ORIENTE CRUDE OIL PETROLEO CRUDO ORIENTE ECUATORIANO A GRANEL A 60 DEG F PETROLEO CRUDO ORIENTE ECUATORIANO A GRANEL A 60 DEG F ECUADORIAN ORIENTE CRUDE OIL ECUADORIAN ORIENTE CRUDE OIL ORIENTE CRUDE OIL ORIENTE CRUDE OIL",494.7
Chevron,"Bajo Grande, Venezuela","Port of Pascagoula, Pascagoula, Mississippi",27.0,2709.0,2488084.26,46,"317920 BBLS OF BOSCAN CRUDE OIL 340, 441 BBLS BOSCAN CRUDE OIL BOSCAN CRUDE OIL 348, 270 BBLS 317920 BBLS OF BOSCAN CRUDE OIL 340, 444 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 340, 842 BBLS GSV@60F BOSCAN CRUDE OIL API 10. BOSCAN CRUDE OIL 344, 610 BBLS GSV@60F BOSCAN CRUDE OIL API 10. 345, 104 BBLS GSV @ 60F BOSCAN CRUDE OIL API. 344, 610 BBLS GSV@60F BOSCAN CRUDE OIL API 10.",484.9
Martin Marietta,"Auld's Cove, Ns, Canada","Port Manatee, Florida",68.0,6802.0,2315096.0,46,CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE,483.2
Emirates Aluminium (EGA),"Kobe, Japan","Baltimore, Maryland",87.0,8703.0,105.82000000000001,48,"USED VEHICLE(S) NISSAN SILVIA 1999 1990CC PETROL 1240KG L: W: H: 444X169X128 MADE IN JAPAN HS CODE: 8703. 23 USED VEHICLE(S) NISSAN SILVIA CP 1991 1990CC PETROL 1160KG L: W: H: 447X169X129 MADE IN JAPAN HS CODE: 8703. 23 NCV INNER CARGO TAIL LIGHTS 2 PC(S) 1 KG SEAT BELT LOCK 2 PC(S) 1 KG ""CARGO PARTS SHIPPED AT SHIPPER'S RISK, SHIPPER'S LOAD, STOW AND COUNT. NO CLAIMS ACCEPTED. "" USED VEHICLE(S) NISSAN SKYLINE 1994 1990CC P ETROL 1270KG L: W: H: 464X172X134 MADE IN JAPAN HS CODE: 8703. 23 USED VEHICLE(S) NISSAN SKYLINE COUPE 1998 2 490CC PETROL 1410KG L: W: H: 458X172X134 MADE I N JAPAN HS CODE: 8703. 23 NCV: HEAD LIGHTS BU LB 2 PC(S) 1 KG(S) WINKER COVER 2 PC(S) 1 KG(S) IGNITION COIL 6 PC(S) 3 KG(S) MAFFLER SILENSER 1 PC(S) 3 KG(S) FOG LIGH TS 1 PC(S) 1 KG(S) SPEED SENSOR 1 PC(S) 1 KG(S) AIR CLEANER 1 PC(S) 3 KG(S) HEA D LIGHT COVER 2 PC(S) 1 KG(S) ""CARGO PAR TS SHIPPED AT SHIPPER'S RISK, SHIPPER'S LOAD, STOW AND COUNT. NO CLAIMS ACCEPTED. "" USED VEHICLE(S) PORSCHE PORSCHE 911 1998 33 80CC PETROL 1390KG L: W: H: 443X183X130 MADE IN GERMANY M. YEAR: 1998 USED VEHICLE(S) NISSAN SILVIA CP 1999 1990C C PETROL 1200KG L: W: H: 444X169X128 MADE IN JA PAN M. YEAR: 1999 USED VEHICLE(S) DAIHATSU HIJET TRUCK 1999 6 50CC PETROL 920KG L: W: H: 339X147X198 MADE IN JAPAN M. YEAR: 1999 USED VEHICLE(S) 1998 TOYOTA ALTEZZA R. YEAR: 1 999 M. YEAR: 1998 1990CC PETROL 1360KG L: W: H: 440X172X141 MADE IN JAPAN HS CODE: 8703. 23 USED VEHICLE(S) 1990 NISSAN SKYLINE R. YEAR: 1 990 M. YEAR: 1990 1990CC PETROL 1370KG L: W: H: 453X181X130 MADE IN JAPAN HS CODE: 8703. 23 NC V INNER CARGO STEERING WHEEL 1 PC(S) 2 KG(S) AIR CLEANER COVER 1 PC(S) 1 KG(S) STABILIZE R 2 PC(S) 2 KG(S) LEFT FENDER 1 PC(S) 4 KG( S) SPACER 2 PC(S) 1 KG(S) WHEEL NUT 9 PC(S) 3 KG(S) SOCKET 1 PC(S) 1 KG(S) SUSPENSION W RENCH 1 PC(S) 1 KG(S) (NO COMMERCIAL VALUE) ""CARGO PARTS SHIPPED AT SHIPPER'S LISK, SHIPP ER'S LOAD, STOW AND COUNT. NO CLAIMS ACCEPTED. "" USED VEHICLE TOYOTA PRIUS CH NO. ZVW51 6200 325 457 X 176 X 147 H. S. CODE 8703. 40 USED VEHICLE TOYOTA PRIUS CH NO. ZVW51 6191 277 457 X 176 X 147 H. S. CODE 8703. 40 USED VEHICLE TOYOTA PRIUS CH NO. ZVW51 6194 531 457 X 176 X 147 H. S. CODE 8703. 40 USED VEHICLE TOYOTA PRIUS CH NO. ZVW51 6195 445 457 X 176 X 147 H. S. CODE 8703. 40 USED VEHICLE TOYOTA PRIUS CH NO. ZVW51 6205 920 457 X 176 X 147 H. S. CODE 8703 40 USED VEHICLE(S) NISSAN SKYLINE 1995 2490CC P ETROL 1320KG L: W: H: 464X172X134 MADE IN JAPAN HS CODE: 8703. 23 USED VEHICLE(S) NISSAN SKYLINE 1991 1990CC P ETROL 1220KG L: W: H: 458X169X134 MADE IN JAPAN HS CODE: 8703. 23",480.0
Emirates Aluminium (EGA),"All Other Canada Pacific Region Ports, Canada","Port of Redwood City, Redwood City, California",25.0,2505.0,1526600.0,46,CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL,475.3
Valero,"Altamira, Mexico","Port Arthur, Texas",27.0,2709.0,1309177.14,46,"160, 364 BBLS GSV@60F ALTAMIRA CRUDE OIL API 1 157, 455 BBLS GSV @ 60F ALTAMIRA CRUDE OIL API 162, 292. 780 BBLS GSV@60F ALTAMIRA CRUDE OIL A 147, 983. 26 BBLS GSV@60F ALTAMIRA CRUDE OIL AP 145, 065. 260 BBLS GSV@60F ALTAMIRA CRUDE OIL A 182, 853 BBLS GSV@60F ALTAMIRA CRUDE OIL API 1 160, 937 BBLS GSV @ 60F ALTAMIRA CRUDE OIL API 194, 403. 61 BBLS GSV@60F ALTAMIRA CRUDE OIL AP 182, 853 BBLS GSV@60F ALTAMIRA CRUDE OIL API 1 179, 628 BBLS GSV@60F ALTAMIRA CRUDE OIL API 1",473.1
Valero,"Campeche, Mexico","Port Arthur, Texas",27.0,2709.0,3201367.98,44,"519, 998 BBLS MAYA CRUDE OIL 526, 018 MAYA CRUDE OIL 244, 146 BBLS MAYA CRUDE OIL 501, 959 BBLS MAYA CRUDE OIL 530, 212 BBLS MAYA CRUDE OIL 489, 860 BBLS MAYA CRUDE OIL 524, 430 BBLS MAYA CRUDE OIL 501, 959 BBLS MAYA CRUDE OIL 519, 998 BBLS MAYA CRUDE OIL 526, 018 MAYA CRUDE OIL",472.0
PMI Trading,"Pajaritos, Mexico","Alabama State Port Authority, Mobile, Alabama",27.0,2709.0,2348425.87,44,"ISTHMUS CRUDE OIL 3295 394, 287 BBLS 510, 131. 76 BBLS GSV@60F ISTHMUS CRUDE OIL API 215, 000 BBLS GSV@60F ISTHMUS CRUDE OIL API 34 183, 481 BBLS GSV@60F ISTHMUS CRUDE OIL API 34 510, 131. 76 BBLS GSV@60F ISTHMUS CRUDE OIL API 470, 571 BBLS GSV@60F ISTHMUS CRUDE OIL AP 275, 000 BBLS GSV@60F ISTHMUS CRUDE OIL API 36 120, 749 BBLS GSV@60F ISTHMUS CRUDE OIL API 36 479, 234 BBLS ISTHMUS CRUDE OIL 493, 546 ISTHMUS CRUDE OIL",463.5
Valero,"Lianyungang, China","Baton Rouge (BTR) Airport, Baton Rouge, Louisiana",15.0,1518.0,88673.72,45,USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL USED COOKING OIL,450.9
Emirates Aluminium (EGA),"All Other United Arab Emirates Ports, United Arab Emirates","Georgia Ports Authority, Savannah, Georgia",76.0,7601.0,3416951.0,41,HIGH GRADE PRIMARY ALUMINIUM OF 99. 89% IN EGA CODE 18900 (EQUIVALENT TO P0506A). SOW INGOT 680KG HIGH GRADE PRIMARY ALUMINIUM OF 99. 89% IN EGA CODE 18900 (EQUIVALENT TO P0506A) SOW INGOT 680 KG PRIMARY ALUMINIUM FOUNDRY ALLOY AISI7MGSR MOD IFIED IN EGA ALLOY 44505 HDC - INGOT 10KG HIGH PURITY PRIMARY ALUMINIUM OF 99. 90% IN EG A CODE 19004 (EQUIVALENT TO P0404A) SOW INGOT 680KG PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A LLOY 65342 (EQUIVALENT TO AA6005A) PRIMARY ALUMINIUM FOUNDRY ALLOY ALSI10MGMN ST RONTIUM MODIFIED IN EGA ALLOY 46301. CUSTOMIS ED ALLOY FOR BOCAR. STANDARD INGOT 20KG PRIMARY ALUMINIUM 99. 89% MINIMUM ALUMINUM IN EGA CODE 18900 PRIMARY ALUMINIUM FOUNDRY ALLOY PRIMARY ALUMINIUM BILLET HOMOGENISED IN EGA A ALLOY 65047 65244 PRIMARY ALUMINIUM FOUNDRY ALLOY,444.2
Emirates Aluminium (EGA),"Kawasaki, Japan","Baltimore, Maryland",87.0,8703.0,99.38,44,USED VEHICLE(S) 1999 NISSAN SKYLINE 4D 1990CC PETROL MADE IN JAPAN USED VEHICLE(S) 1999 NISSAN SKYLINE 2490CC PE TROL MADE IN JAPAN USED VEHICLE(S) 1999 HONDA S2000 1990CC PETRO L MADE IN JAPAN USED VEHICLE(S) 1998 NISSAN SKYLINE 1990CC PE TROL MADE IN JAPAN USED VEHICLE(S) 1998 TOYOTA CHASER 2490CC PET ROL MADE IN JAPAN USED VEHICLE(S) 1992 NISSAN SKYLINE 1990CC PE TROL MADE IN JAPAN USED VEHICLE(S) 1998 TOYOTA LAND CRUISER 416 0CC DIESEL MADE IN JAPAN USED VEHICLE(S) 1996 MITSUBISHI LANCER 1990CC PETROL MADE IN JAPAN USED VEHICLE(S) 1999 TOYOTA ALTEZZA 1990CC PE TROL MADE IN JAPAN USED VEHICLE(S) 1999 TOYOTA ALTEZZA 1990CC PE TROL MADE IN JAPAN USED VEHICLE(S) 1999 HONDA S2000 1990CC PETRO L MADE IN JAPAN USED VEHICLE(S) 1998 TOYOTA LAND CRUISER 416 0CC DIESEL MADE IN JAPAN USED VEHICLE(S) 1996 MITSUBISHI LANCER 1990CC PETROL MADE IN JAPAN USED VEHICLE(S) NISSAN 180SX MANU YEAR: 1997 1990CC PETROL MADE IN JAPAN,440.0
Marathon Petroleum,"Onsan, South Korea","Anchorage, Alaska",27.0,2710.0,1056522.94,42,JET A1 224742 BBLS JET A1 90000 BBLS JET A1 314439 BBLS JET A 1 314888 BBLS JET A 1 190000 BBLS JET A1 124281 BBLS JET A1 314439 BBLS JET A 1 314844 BBLS JET A 1 150000 BBLS JET A 1 164789 BBLS,430.6
ExxonMobil,"Altamira, Mexico","Houston, Houston, Texas",27.0,2710.0,1046119.66,42,"180, 567. 497 BBLS FUEL OIL 142, 422 BBLS GSV @ 60F FUEL OIL API. 11. 50 140, 461. 454 BBLS GSV @ 60F FUEL OIL API. 16. 5 105, 870 BBLS GSV@60F FUEL OIL API 15. 40 143, 985. 542 BBLS GSV@60F CUTTER STOCK API 16. 181, 782. 357 BBLS GSV @ 60F FUEL OIL API. 10. 0 130, 564. 639 BBLS FUEL OIL 143, 985. 542 BBLS GSV@60F CUTTER STOCK API 16. 133, 457. 034 BBLS GSV@60F FUEL OIL API 16. 40 181, 782. 357 BBLS GSV @ 60F FUEL OIL API. 10. 0",430.5
State Oil Marketing Company (SOMO),"Al Basrah, Iraq","Port of Long Beach, Long Beach, California",27.0,2709.0,5862183.07,37,"BASRAH CRUDE OIL 578974 BBLS BASRAH CRUDE OIL 385984 BBLS BASRAH CRUDE OIL 965244 BBLS 1, 968, 256 BBLS IRAQ CRUDE OIL (BASRAH MEDIUM) 958, 387 BBLS BASRAH MEDIUM CRUDE OIL 964, 989 BBLS BASRAH MEDIUM CRUDE OIL 958, 387 BBLS BASRAH MEDIUM CRUDE OIL 964, 989 BBLS BASRAH MEDIUM CRUDE OIL 935, 028 BBLS IRAQ CRUDE OIL ""FOREIGN RETAINED ON BOARD"" 1, 000, 000 BBLS IRAQ CRUDE OIL",428.6
Emirates Aluminium (EGA),"All Other Canada Pacific Region Ports, Canada","Port of Richmond, Richmond, California",25.0,2505.0,714600.0,42,CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL,427.1
Trafigura,"Bahia Blanca, Argentina","New York/Newark Area, Newark, New Jersey",27.0,2710.0,149336.0,42,"37, 752. 614 BBLS VIRGIN NAPHTHA 2710. 12 21, 923. 03 BBLS ISOMERIZED NAPHTHA 2710. 12 11, 855. 702 BBLS NATURAL GASOLINE 70, 000 BBLS NATURAL GASOLINE 4, 674. 638 BBLS NATURAL GASOLINE 81, 519. 257 BBLS NATURAL GASOLINE 4, 689. 981 BBLS NATURAL GASOLINE 11, 810. 926 BBLS NATURAL GASOLINE 17, 919. 569 BBLS NATURAL GASOLINE 28, 619. 619 BBLS NATURAL GASOLINE",421.5
Citgo,"Pointe A Pierre, Trinidad and Tobago","Corpus Christi, Corpus Christi, Texas",27.0,2709.0,3044221.46,39,"75, 810 METRIC TONS (524, 815 BBLS) MOLO CRUDE OIL MOLO CRUDE OIL 526, 150 BBLS MOLO CRUDE OIL (UN 1267) 539, 179 BBLS 524, 955 BBLS GSV@60F MOLO CRUDE OIL API 23. 60 MOLO CRUDE OIL (UN 1267) 539, 179 BBLS 551, 901 BBLS GSV@60F MOLO CRUDE OIL API 22. 90 551, 901 BBLS GSV@60F MOLO CRUDE OIL API 22. 90 569, 135 BBLS GSV @ 60F MOLO CRUDE OIL API. 23 551, 676 BBLS MOLO CRUDE OIL 527, 569 BBLS GSV@60F MOLO CRUDE OIL API 23. 60",420.4
Martin Marietta,"Auld's Cove, Ns, Canada","Port Canaveral, Port Canaveral, Florida",68.0,6802.0,2028400.0,40,GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE GRANITE STONE CRUSHED GRANITE STONE CRUSHED GRANITE STONE,420.3
Emirates Aluminium (EGA),"All Other Canada Pacific Region Ports, Canada","Service Port-San Francisco, San Francisco, California",25.0,2505.0,846000.0,41,CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL CONCRETE SAND AND GRAVEL,418.5
Valero,"Milford Haven, United Kingdom","Port Of Boston, Boston, Massachusetts",27.0,2710.0,423594.0,41,"48, 636 BBLS RBOB REGULAR GASOLINE 13, 021 BBLS PBOB PREMIUM GASOLINE 200, 000 BBLS RBOB REGULAR GASOLINE 45, 000 BBLS PBOB PREMIUM GASOLINE RBOB REGULAR GASOLINE (F1) APROX 65, 307 BBLS SUNOCO EAST BOSTON TERMINAL PBOB PREMIUM GASOLINE (H1) APPROX 8, 224 BBLS SUNOCO EAST BOSTON TERMINAL RBOB REGULAR GASOLINE (F1) APPROX 200, 000 BBLS BRAINTREE CITGO TERMINAL PBOB PREMIUM GASOLINE (H1) APPROX. 50, 000 BBLS BRAINTREE CITGO TERMINAL 48, 636 BBLS RBOB REGULAR GASOLINE 13, 021 BBLS PBOB PREMIUM GASOLINE 200, 000 BBLS RBOB REGULAR GASOLINE 45, 000 BBLS PBOB PREMIUM GASOLINE",414.2
ExxonMobil,"Rotterdam, Netherlands","New York/Newark Area, Newark, New Jersey",29.0,2905.0,30961.7,40,"1, 020 METRIC TONS EXXON SEC-BUTYL ALCOHOL 815 METRIC TONS EXXON SEC-BUTYL ALCOHOL 703. 309 METRIC TONS EXXON SBA PROPER SHIPPING NAME: SEC BUTYL ALCOHOL 815 METRIC TONS EXXON SEC-BUTYL ALCOHOL 968. 692 METRIC TONS EXXON SEC-BUTYL ALCOHOL 594 METRIC TONS EXXON SEC-BUTYL ALCOHOL 816 METRIC TONS EXXON SEC-BUTYL ALCOHOL 800. 038 METRIC TONS EXXON SEC-BUTYL ALCOHOL 453 METRIC TONS EXXON SEC-BUTYL ALCOHOL 594 METRIC TONS EXXON SEC-BUTYL ALCOHOL",400.3
PBF Energy,"High Seas,North Pacific","Martinez, California",27.0,2709.0,2218023.66,37,"396, 065 BBL TUPI CRUDE OIL 396, 065 BBL TUPI CRUDE OIL 97, 520 METRIC TONS (401, 578 BBLS) FRADE CRUDE 348, 000 BBLS SEPIA CRUDE OIL TUPI CRUDE OIL ORIENTE CRUDE OIL 396, 065 BBL TUPI CRUDE OIL FRADE CRUDE OIL 480910 BBLS TUPI CRUDE OIL 485012 BBLS 479, 453. 00 BBLS MERO CRUDE OIL",392.2
