Bill of Lading Number,Arrival Date,Consignee,Consignee (Original Format),Consignee SIC Codes,Shipper,Shipper (Original Format),Shipper SIC Codes,Notify Party,Carrier,Origin (F),Destination (D),Port of Discharge (D),Port of Loading (F),Country of Origin (F),Place of Receipt (F),Vessel,Voyage,IMO,Is Containerized,Measurement,Kilos,Tons,Weight (Original Format),Value,HS Code Desc.,Goods Shipped,REC_ID,Qty,Pckg,HS2,HS4,HS6,Vessel_Type_Simple,Carrier Name,Package_Type,Count,Group,Commodity,Cargo,Cargo Detail,Group_Locked,Commodity_Locked,Cargo_Locked,Cargo_Detail_Locked,Classified_Phase,Last_Rule_ID,Report_One,Report_Two,Report_Three,Report_Four,Filter,Note,Cargo_Detail,Classified_By_Rule,Type,DWT,LOA,Beam,Depth(m),GT,NRT,Grain,TPC,Dwt_Draft(m),Port_Code,Port_Consolidated,Port_Coast,Port_Region
OFCWRDJ232105409,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1494000.0,1494.0,1494 ET,717000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE144_R1137649,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105408,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1992000.0,1992.0,1992 ET,956000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE144_R1137650,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105407,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1494000.0,1494.0,1494 ET,717000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE144_R1137651,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105406,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1645000.0,1645.0,1645 ET,790000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE144_R1137652,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105405,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2988000.0,2988.0,2988 ET,1434000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE144_R1137653,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105404,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130  504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1300000.0,1300.0,1300 ET,624000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE144_R1137654,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105403,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130  504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2900000.0,2900.0,2900 ET,1392000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE144_R1137655,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105402,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130  504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2800000.0,2800.0,2800 ET,1344000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE144_R1137656,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105401,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130  504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,6903000.0,6903.0,6903 ET,3313000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE144_R1137657,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
JTPB3FRU806001,2023-04-11,Pjsc Arcelormittal Kryvyi Rih Arcelormittal International Americ,"PJSC ARCELORMITTAL KRYVYI RIH
1 ORDZHONIKIDZA STREET, KRYVYI
50095 UKRAINE  ON BEHALF OF
ARCELORMITTAL  INTERNATIONAL AMERIC",,Pjsc Arcelormittal Kryvyi Rih Arcelormittal International Americ,"PJSC ARCELORMITTAL KRYVYI RIH
1 ORDZHONIKIDZA STREET, KRYVYI
50095 UKRAINE  ON BEHALF OF
ARCELORMITTAL  INTERNATIONAL AMERIC",,"JSW STEEL USA OHIO INC
1500 COMMERCIAL AVENUE, MINGO JUNCTION, OHIO 43938",JTPB - Jera Global Markets Pte. Ltd,Poland,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","All Other Poland Ports, Poland",Poland,GDANSK PORT,PAVO BRAVE,015,,, ,20998588.0,20998.59,20998588 ET,10499000.0,Classified: 7201.10,CONVERSION PIG IRON IN BULK,PANV_IMP_FILE144_R1137761,1,BLK,72,7201,720110,Bulk Carrier,JTPB,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105421,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2988000.0,2988.0,2988 ET,1434000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230453,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105420,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2490000.0,2490.0,2490 ET,1195000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230454,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105419,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,7969000.0,7969.0,7969 ET,3825000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230455,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105418,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,162000.0,162.0,162 ET,77800.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230456,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105417,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,494000.0,494.0,494 ET,237000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230457,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105416,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2739000.0,2739.0,2739 ET,1315000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230458,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105415,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2291000.0,2291.0,2291 ET,1100000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230459,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105414,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,996000.0,996.0,996 ET,478000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230460,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105413,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2988000.0,2988.0,2988 ET,1434000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230461,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105412,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,5976000.0,5976.0,5976 ET,2868000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230462,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105411,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,249000.0,249.0,249 ET,120000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230463,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105410,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1046000.0,1046.0,1046 ET,502000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230464,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105409,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1494000.0,1494.0,1494 ET,717000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230465,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105408,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1992000.0,1992.0,1992 ET,956000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230466,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105407,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1494000.0,1494.0,1494 ET,717000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230467,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105406,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1645000.0,1645.0,1645 ET,790000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230468,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105405,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130 504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2988000.0,2988.0,2988 ET,1434000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230469,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105404,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130  504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,1300000.0,1300.0,1300 ET,624000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230470,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105403,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130  504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2900000.0,2900.0,2900 ET,1392000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230471,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105402,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130  504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,2800000.0,2800.0,2800 ET,1344000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230472,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
OFCWRDJ232105401,2023-04-11,Host Agency,,8748,,,,"1) HOST AGENCY LLC
NEW ORLEANS, LA 70130  504-469-0731, 2) LIVINGSTON INTL INC, NEW ORLEANS, LA 70130  504-581-3320",OFCW - Oldendorff Carriers,Brazil,"Port of New Orleans, New Orleans, Louisiana","Port of New Orleans, New Orleans, Louisiana","Rio De Janeiro, Brazil",Brazil,BRAZIL,MAGIA,21054,,, ,6903000.0,6903.0,6903 ET,3313000.0,Classified: 7201.10,A QUANTITY OF BASIC STEEL MAKING PIG IRON,PANV_IMP_FILE154_R1230473,1,BLK,72,7201,720110,Bulk Carrier,OFCW,BLK,1,Dry Bulk,Ferrous Raw Materials,Pig Iron,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,Pig Iron,Rule_39,,,,,,,,,,,2002,New Orleans,Gulf,Gulf East
