Source,Target,Relationship_Type,Shipments,Tons
Ecohog Ltd.,"NMT USA INC
150 SECOND AVE N, SUITE 690, ST PETERSBURG FL33701 USJASON MAINTZER",Shipper→NotifyParty,2,32.0
Rcs Entertainment Llc,"PAN WORLD TRANS U S A
5406 JUNIPER COURT, P O  BOX 1335, COLLEYVILLE TX US",Consignee→NotifyParty,2,32.0
Ritchie Bros Shared Services B V,"C LOGISTICS SOLUTIONS SRL
13 GAZCUE, CLL JUAN SANHEZ RAMIREZ, ST DOMINGO DO",Shipper→NotifyParty,2,32.0
Alex Lyon & Son,"A & A CUSTOMS BROKERAGE INC
6305 MARBELLA BLVD, APOLLO BEACH FL US",Consignee→NotifyParty,2,32.0
3 Tek Global,"NMT USA INC
150 SECOND AVE N, SUITE 690, ST PETERSBURG FL33701 USJASON MAINTZER",Consignee→NotifyParty,2,32.0
Lego Op De Mexico,"SAME AS CONSIGNEE
X, X",Consignee→NotifyParty,2,32.0
Maschinenfabrik Berthold Hermle Ag,"NTH MACHINE
16304 S MAIN ST, GARDENA CALIFORNIA 90248 U.S.A., US, GARDENA                  90248",Shipper→NotifyParty,2,32.0
Complete Marine Freight S.L.,"Caribbean Concierge Services
Next to Antigua Sails Dockyard, Drive English Harbour Antigua,, PALMA DE MALLORCA  AG",Shipper→NotifyParty,2,32.0
Nmtc Bv,"ULTRAMAR AGENCIA MARITIMA CHILE
EL MOLO 097, SAN ANTONIO CL",Shipper→NotifyParty,2,32.0
Hermle Machine Co Llc,"NTH MACHINE
16304 S MAIN ST, GARDENA CALIFORNIA 90248 U.S.A., US, GARDENA                  90248",Consignee→NotifyParty,2,32.0
Tld Europe Sorigny Facility,"OPENROAD GLOBAL
288 E ELLENDALE AVE, DALLAS OREGON 97338 US, CONTACT : BRAD JOHNSON, TEEMAIL BRADJ@OPENROAD.INC",Shipper→NotifyParty,2,32.0
Complete Marine Freight S.L.,Fifty Ltd. Aif Corporate Services Lt,Shipper→Consignee,2,32.0
Blue Label Packaging Co.,"UPS SUPPLY CHAINS SOLUTIONS INC.
2031 S. CENTENNIAL AVE,, AIKEN, SC 29803 USA, TEL:803 502 6898 FAX: 803 502 7995, UOSUSAAO@UPS.COM",Consignee→NotifyParty,1,32.0
Jdr Cable Systems,Jdr Cables Systems,Shipper→Consignee,2,32.0
Yacht Sales Management Llc,"COMPASS LOGISTICS MARINE  LLC
COMPASS LOGISTICS MARINE  LLC 111, 2 SE 3RD AVE FORT LAUDERDALE FL 333, 16 EMAIL  MICHELLE@COMPASSLOGISTICS, MAR TEL   954-526-6672",Consignee→NotifyParty,2,32.0
Elv Select Inc.,"ELV SELECT INC
8263 WELLINGTON COUNTY ROAD 18, FERGUS ON N1M 2W5 CA",Consignee→NotifyParty,2,32.0
Greenwood Engineering A S,Ntro Arrb,Shipper→Consignee,2,32.0
Velox Pure Digital Ltd.,"CLEARIT CUSTOMS SERVICES INC.
100 WALNUT STREET CHAMPLAIN,, NY 12919 ,USA TEL: 1 (844) 999-9777, DOCUMENTS@CLEARITUSA.COM, PAPS@CLEARITUSA.COM",Shipper→NotifyParty,1,32.0
Tld Europe Sorigny Facility,Falcon Airport Services,Shipper→Consignee,2,32.0
Delta Powerboats America,Delta Powerboats America,Shipper→Consignee,4,32.0
Fountaine Pajot,"COMPASS LOGISTICS MARINE  LLC
COMPASS LOGISTICS MARINE  LLC 111, 2 SE 3RD AVE FORT LAUDERDALE FL 333, 16 EMAIL  MICHELLE@COMPASSLOGISTICS, MAR TEL   954-526-6672",Shipper→NotifyParty,2,32.0
Okris Ltd.,"Compass Logistics Marine LLC
1112 SE 3rd Ave, Fort Lauderdale FL US 33316",Shipper→NotifyParty,2,32.0
Pnw Machinery Llc,"ALLROUND FORWARDING MIDWEST INC.
AIRPORT EXECUTIVE PARK, 6751 ENGLE ROAD SUITE B-FRONT, CLEVELAND OHIO 44130 U.S.A.     US, CLEVELAND44130",Consignee→NotifyParty,2,32.0
"Be Forward Co., Ltd.",Tayler Lee Lee's Jdm & More,Shipper→Consignee,31,32.0
Dsv Air & Sea S.A.S.,"DSV AIR & SEA S.A.S.
- 1946 BURO, NIT 900.618.834-4 BURO 25, DG. 25G, #95A-85 T3 P3, TEAS AGENT OF DSV OCEAN TRANSPORT A",Consignee→NotifyParty,2,32.0
Jdr Cables Systems,"LV SHIPPING USA INC
19051 KENSWICK DR STE 190A, HUMBLE TX77338 US TE+12813195454",Consignee→NotifyParty,2,32.0
Sparber Mexico International S.A D,"SPARBER MEXICO INTERNACIONAL
S.A. DE C.V CALLE BAJIO 360 OFICINA, 1202 COL ROMACDMX 06700 TAX ID  SMI, 021211JY8",Consignee→NotifyParty,2,32.0
Argos Usa,"ARGOS US LLC
C3015 WINDWARD PLAZA DR ALPHARETTA, GA 30005",Consignee→NotifyParty,1,32.0
Dsv Air & Sea Pa Inc.,Dsv Air & Sea S.A.S.,Shipper→Consignee,2,32.0
Falcon Airport Services,"OPENROAD GLOBAL
288 E ELLENDALE AVE, DALLAS OREGON 97338 US, CONTACT : BRAD JOHNSON, TEEMAIL BRADJ@OPENROAD.INC",Consignee→NotifyParty,2,32.0
Tld America,"MAXIMUM FREIGHT
985 E LINDEN  AVE, EMAIL  TEAM@SHIPMAXIMUM COM, LINDEN NJ US",Consignee→NotifyParty,2,32.0
Delta Powerboats America,"DELTA POWERBOATS AMERICA
757 SE 17TH ST #221, FORT LAUDERDALE FL US 333316",Shipper→NotifyParty,4,32.0
Master T T Lady Moura,"Compass Logistics Marine LLC
1112 SE 3rd Ave, Fort Lauderdale FL US 33316",Consignee→NotifyParty,2,32.0
Velox Pure Digital Ltd.,Lagersmith Llc,Shipper→Consignee,1,32.0
Fountaine Pajot,Yacht Sales Management Llc,Shipper→Consignee,2,32.0
Chantier Catana,"CAPITAL LOGISTICS INTERNATIONAL LLC
CAPITAL LOGISTICS INTERNATIONAL LLC, 7158 AUSTIN ST STE 209 FOREST HILL, S NY 11375 UNITED STATES",Shipper→NotifyParty,2,32.0
Velox Pure Digital Ltd.,Blue Label Packaging Co.,Shipper→Consignee,1,32.0
Guardian Off Road Inc.,"OPENROAD GLOBAL
288 E ELLENDALE AVE, TEL  + 503 687 1764 OFFICE, DALLAS OR US",Consignee→NotifyParty,2,32.0
Gaussin Sa,Gaussin North America Inc.,Shipper→Consignee,2,32.0
Greenwood Engineering A S,"NTRO / ARRB
80A TURNER ST, PORT MELBOURNE, 3207 MELBOURNE, TEAU",Shipper→NotifyParty,2,32.0
Ritchie Bros Shared Services B V,Coaneq Srl,Shipper→Consignee,2,32.0
Delta Powerboats America,"DELTA POWERBOATS AMERICA
757 SE 17TH ST #221, FORT LAUDERDALE FL US 333316",Consignee→NotifyParty,4,32.0
Jung Max Rides S R O,Rcs Entertainment Llc,Shipper→Consignee,2,32.0
Zeppelin Systems Gmb H,Lego Op De Mexico,Shipper→Consignee,2,32.0
Trioliet Bv,"ALLROUND FORWARDING MIDWEST INC.
AIRPORT EXECUTIVE PARK, 6751 ENGLE ROAD SUITE B-FRONT, CLEVELAND OHIO 44130 U.S.A.     US, CLEVELAND44130",Shipper→NotifyParty,2,32.0
Jung Max Rides S R O,"PAN WORLD TRANS U S A
5406 JUNIPER COURT, P O  BOX 1335, COLLEYVILLE TX US",Shipper→NotifyParty,2,32.0
Maestro Project Logistics,Sparber Mexico International S.A D,Shipper→Consignee,2,32.0
Lego Op.Mexico Sa De Cv,"SAME AS CONSIGNEE
X, X",Consignee→NotifyParty,2,32.0
Zeppelin Systems Gmb H,Lego Op.Mexico Sa De Cv,Shipper→Consignee,2,32.0
Chantier Catana,Cruising Yachts,Shipper→Consignee,2,32.0
Lagersmith Llc,"CLEARIT CUSTOMS SERVICES INC.
100 WALNUT STREET CHAMPLAIN,, NY 12919 ,USA TEL: 1 (844) 999-9777, DOCUMENTS@CLEARITUSA.COM, PAPS@CLEARITUSA.COM",Consignee→NotifyParty,1,32.0
Velox Pure Digital Ltd.,"UPS SUPPLY CHAINS SOLUTIONS INC.
2031 S. CENTENNIAL AVE,, AIKEN, SC 29803 USA, TEL:803 502 6898 FAX: 803 502 7995, UOSUSAAO@UPS.COM",Shipper→NotifyParty,1,32.0
Tld Europe Sorigny Facility,Guardian Off Road Inc.,Shipper→Consignee,2,32.0
Monterey Services Inc.,Valero,Shipper→Consignee,1,32.0
Ultramar Agencia Amritima Ltda,"ULTRAMAR AGENCIA MARITIMA CHILE
EL MOLO 097, SAN ANTONIO CL",Consignee→NotifyParty,2,32.0
Coaneq Srl,"C LOGISTICS SOLUTIONS SRL
13 GAZCUE, CLL JUAN SANHEZ RAMIREZ, ST DOMINGO DO",Consignee→NotifyParty,2,32.0
Car Cave Llc,"TRAVIS BUCOLO
PRIDE INTERNATIONAL, INC., 2200 BROENING HIGHWAY SUITE 230, BALTIMORE, MARYLAND 21224, BALTIMORE MD",Shipper→NotifyParty,6,32.0
Okris Ltd.,Master T T Lady Moura,Shipper→Consignee,2,32.0
Jung Max Rides S R O,Cypress Enterprises Llc,Shipper→Consignee,2,32.0
Quick Truckservice As,Global Construction Equip.,Shipper→Consignee,2,32.0
Eco Hog Ltd.,Elv Select Inc.,Shipper→Consignee,2,32.0
"Thomas Sherriff & Co., Ltd.",Spectinga Inc.,Shipper→Consignee,4,32.0
Jdr Cable Systems,"LV SHIPPING USA INC
19051 KENSWICK DR STE 190A, HUMBLE TX77338 US TE+12813195454",Shipper→NotifyParty,2,32.0
Jung Max Rides S R O,"CARTAINER OCEAN LINE
570 SOUTH AVE EAST, BLDG A, 1ST FLOOR, CRANFORD NJ 07016 US",Shipper→NotifyParty,2,32.0
Cypress Enterprises Llc,"CARTAINER OCEAN LINE
570 SOUTH AVE EAST, BLDG A, 1ST FLOOR, CRANFORD NJ 07016 US",Consignee→NotifyParty,2,32.0
Eco Hog Ltd.,"ELV SELECT INC
8263 WELLINGTON COUNTY ROAD 18, FERGUS ON N1M 2W5 CA",Shipper→NotifyParty,2,32.0
Nuh Cimento Sanayi A.S.,"ARGOS US LLC
C3015 WINDWARD PLAZA DR ALPHARETTA, GA 30005",Shipper→NotifyParty,1,32.0
Maestro Project Logistics,"SPARBER MEXICO INTERNACIONAL
S.A. DE C.V CALLE BAJIO 360 OFICINA, 1202 COL ROMACDMX 06700 TAX ID  SMI, 021211JY8",Shipper→NotifyParty,2,32.0
Aaj Plus K.K.,"WALLENIUS WILHELMSEN LOGISTICS AS
FRANZIUSSTR  82, BREMERHAVEN DE",Shipper→NotifyParty,18,31.990000000000002
Haven Development Llc,Haven Development,Shipper→Consignee,1,31.98
Bergmann Maschinenbau Gmb H Co Kg,"UTC OVERSEAS, INC.
3904 OLEANDER DR., SUITE 200 A, 28403 WILMINGTON, NC, SUSAN BUSCEMI, WILMINGTON NC",Shipper→NotifyParty,2,31.98
Rotech Subsea Ltd.,Rotech Subsea Llc,Shipper→Consignee,2,31.98
Rotech Subsea Llc,"VERITAS GLOBAL TRANSPORTATION INC
ROLLER COASTER ROAD, COLORADO SPRINGS CO 80900 US",Consignee→NotifyParty,2,31.98
Bergmann Americas Inc.,"UTC OVERSEAS, INC.
3904 OLEANDER DR., SUITE 200 A, 28403 WILMINGTON, NC, SUSAN BUSCEMI, WILMINGTON NC",Consignee→NotifyParty,2,31.98
Rotech Subsea Ltd.,"VERITAS GLOBAL TRANSPORTATION INC
ROLLER COASTER ROAD, COLORADO SPRINGS CO 80900 US",Shipper→NotifyParty,2,31.98
Ncl (Bahamas Ltd.),Universal Tire International,Shipper→Consignee,2,31.96
Azamara Cruise,Stericycle Inc.,Shipper→Consignee,5,31.96
Exportadora Fms Sp A,"J & K FRESH EAST A DIVISION OF 721
399 MARKET STREET, SUITE 220, PHILADELPHIA, PA 19106, USA",Shipper→NotifyParty,2,31.95
Op Inc.,"A AND A LTD
700 PLEASANT STREET STE 540 NEW, BEDFORD MA 02740 USA",Shipper→NotifyParty,1,31.95
Pacific Rim Equipment Inc.,"PACIFIC RIM EQUIPMENT, INC.
1698 DARTMOUTH RD PENTICTON,, BC CANADA V2A 4B8 CANADA, TEL:250-493-4545 FAX:250-493-8819",Consignee→NotifyParty,1,31.95
Naps North Atlantic Pacific Seafood,"A AND A LTD
700 PLEASANT STREET STE 540 NEW, BEDFORD MA 02740 USA",Consignee→NotifyParty,1,31.95
Op Inc.,Naps North Atlantic Pacific Seafood,Shipper→Consignee,1,31.95
Ichikawa,"PACIFIC RIM EQUIPMENT, INC.
1698 DARTMOUTH RD PENTICTON,, BC CANADA V2A 4B8 CANADA, TEL:250-493-4545 FAX:250-493-8819",Shipper→NotifyParty,1,31.95
Kalmar Motor Ab,"JOHN A  STEER
6610 TRIBUTARY STREET, TELE#410 633 3912 G KALB@JASTEER CO, BALTIMORE MD US",Shipper→NotifyParty,2,31.92
Hi Lite Airfield Services Llc,Hi Lite Airfield Services Llc.,Shipper→Consignee,4,31.92
Kalmar Motor Ab,"ALL WAYS INTERNATIONAL SHIPPING
6610 TRIBUTARY STREET, SUITE 102, BALTIMORE MD US",Shipper→NotifyParty,2,31.92
Vestergaard Co. Inc.,"ALL WAYS INTERNATIONAL SHIPPING
6610 TRIBUTARY STREET, SUITE 102, BALTIMORE MD US",Consignee→NotifyParty,2,31.92
Vestergaard Co. Inc.,"JOHN A  STEER
6610 TRIBUTARY STREET, TELE#410 633 3912 G KALB@JASTEER CO, BALTIMORE MD US",Consignee→NotifyParty,2,31.92
Santo Domingo Motors Co. C. Po,"SANTO DOMINGO MOTORS CO.S.A,
AUTOPISTA DUARTE KM. 6.5, APARTADO 800,SANTO DOMINGO,, DOMINICAN REPUBLIC,TEL 809 567 2661, APARTADODO",Consignee→NotifyParty,2,31.9
Suzuki Motor Corporation,"SANTO DOMINGO MOTORS CO.S.A,
AUTOPISTA DUARTE KM. 6.5, APARTADO 800,SANTO DOMINGO,, DOMINICAN REPUBLIC,TEL 809 567 2661, APARTADODO",Shipper→NotifyParty,2,31.9
Normet Americas Inc.,"NORMET AMERICAS
2580 ALTA VISTA DRIVE, STE  B, ELKO UT US",Consignee→NotifyParty,2,31.9
Normet Oy,"NORMET AMERICAS
2580 ALTA VISTA DRIVE, STE  B, ELKO UT US",Shipper→NotifyParty,2,31.9
Carnival Cruise,Stericycle Inc.,Shipper→Consignee,1,31.89
Agco Internationalgmbh,"Nakanishi Shoji Co., Ltd.",Shipper→Consignee,2,31.88
"Nakanishi Shoji Co., Ltd.","NAKANISHI SHOJI CO. LTD.
2-36 NISHI MIYAUCHI, HYOGO-KU KOBE HYOGO652-0891 JAPAN, JP, KOBE                     652-0891",Consignee→NotifyParty,2,31.88
Agco Internationalgmbh,"NAKANISHI SHOJI CO. LTD.
2-36 NISHI MIYAUCHI, HYOGO-KU KOBE HYOGO652-0891 JAPAN, JP, KOBE                     652-0891",Shipper→NotifyParty,2,31.88
Bank Of American.A,"AUTOKIA DE GUATEMALA  S.A.
CALZADA AGUILAR BATRES 27-20 ZONA11, CIUDAD DE GUATEMALA GUATEMALA",Consignee→NotifyParty,4,31.860000000000003
Kia,"AUTOKIA DE GUATEMALA  S.A.
CALZADA AGUILAR BATRES 27-20 ZONA11, CIUDAD DE GUATEMALA GUATEMALA",Shipper→NotifyParty,4,31.860000000000003
Kia,Bank Of American.A,Shipper→Consignee,4,31.860000000000003
Palfinger France,Tahiti Automobiles Frederic Siu,Shipper→Consignee,2,31.84
Toyota Tsusho Korea,"TOYOTA TSUSHO PROCESSING DE MEXICO,
AVENIDA CENTRAL NO.585, PARQUE LOGI, SAN LUIS POTOSI, S.L.P.MEXICO, ATTN: MS. DIANA ORTIZ - TEL OFFICE",Shipper→NotifyParty,2,31.84
Olin Winchester Corp.,"TLR- TOTAL LOGISTICS RESOURCE
555 SE MLK JR. BLVD, SUITE 105, PORTLAND OR            97214     US",Consignee→NotifyParty,5,31.84
Tahiti Automobiles Frederic Siu,"TAHITI AUTOMOBILES SA
192 AVENUE GEORGES  CLEMENCEAU, BP 1619, PAPEETE PF",Consignee→NotifyParty,2,31.84
Interfracht Container Overseas Gmb H,"INTERFRACHT USA INC.
1100 PRATT BLVD., ELK GROVE VILLAGEIL 60007, USA",Shipper→NotifyParty,2,31.84
Interfracht Inc. Usa,"INTERFRACHT USA INC.
1100 PRATT BLVD., ELK GROVE VILLAGEIL 60007, USA",Consignee→NotifyParty,2,31.84
Cantoni & C Sp A,"PHOENIX INTERNATIONAL TAHITI
FARE UTE, BUILDING PUEA PAHONU, PAPEETE PF",Shipper→NotifyParty,2,31.84
Amada America Inc.,"LOCURTO & FUNK, INC. NNTC
29 W 30TH STREET-12TH FLOOR, NEW YORK, NY 10001 US",Consignee→NotifyParty,2,31.84
Nammo Vanaesverken Ab,"TLR- TOTAL LOGISTICS RESOURCE
555 SE MLK JR. BLVD, SUITE 105, PORTLAND OR            97214     US",Shipper→NotifyParty,5,31.84
Amada Gmb H,"LOCURTO & FUNK, INC. NNTC
29 W 30TH STREET-12TH FLOOR, NEW YORK, NY 10001 US",Shipper→NotifyParty,2,31.84
Palfinger France,"TAHITI AUTOMOBILES SA
192 AVENUE GEORGES  CLEMENCEAU, BP 1619, PAPEETE PF",Shipper→NotifyParty,2,31.84
Toyota Tsusho Processing De Mexico Sa De Cv,"TOYOTA TSUSHO PROCESSING DE MEXICO,
AVENIDA CENTRAL NO.585, PARQUE LOGI, SAN LUIS POTOSI, S.L.P.MEXICO, ATTN: MS. DIANA ORTIZ - TEL OFFICE",Consignee→NotifyParty,2,31.84
Amada Press System America Inc.,"SST INTERNATIONAL  INC  DBA
1001 W  WALNUT STREET, COMPTON CA US",Consignee→NotifyParty,4,31.820000000000004
"Amada Press System Co., Ltd.","SST INTERNATIONAL  INC  DBA
1001 W  WALNUT STREET, COMPTON CA US",Shipper→NotifyParty,4,31.820000000000004
Core Cargo Logisticaint L Ltda,"C LOGISTICS SOLUTIONS SA
EDIF. QUANTIC GROUP, GAZCUE, CALLE JUAN SANCHEZ RAMIREZ N 13, SANTO DOMINGO                   DO, SANTO DOMINGO",Shipper→NotifyParty,2,31.82
Motorambar Inc.,"CARIBBEANTRADING SYSTEMS,INC.
SCOTIABANK BUILDING RAWSON SQUARE, P.O.BOX N-3016 NASSAU,BAHAMAS., NASSAU                           BS",Consignee→NotifyParty,5,31.82
Nissan Mexicana S.A. De C.V.,"CARIBBEANTRADING SYSTEMS,INC.
SCOTIABANK BUILDING RAWSON SQUARE, P.O.BOX N-3016 NASSAU,BAHAMAS., NASSAU                           BS",Shipper→NotifyParty,5,31.82
Global Freight Solutions,"C LOGISTICS SOLUTIONS SA
EDIF. QUANTIC GROUP, GAZCUE, CALLE JUAN SANCHEZ RAMIREZ N 13, SANTO DOMINGO                   DO, SANTO DOMINGO",Consignee→NotifyParty,2,31.82
Gea Process Engineering A/S,Gea Process Engineering S.A. De C.,Shipper→Consignee,2,31.82
Kia Motors Mexico S.A. De C.V.,Sanpin Motors Ltd.,Shipper→Consignee,8,31.82
Core Cargo Logisticaint L Ltda,Global Freight Solutions,Shipper→Consignee,2,31.82
E & J Used Car Sales And Courier Se,"JEVON AUDAIN
173B-69 ANNAS RETREAT, ST THOMAS VI 00802, (954)258-5271",Shipper→NotifyParty,14,31.810000000000002
E & J Used Car Sales And Courier Se,"JEVON AUDAIN
173B-69 ANNAS RETREAT, ST THOMAS VI 00802, (954)258-5271",Consignee→NotifyParty,14,31.810000000000002
0179 Mp Co Mp Co Combat Su,"W3VA 7A EXERCISES
16TH GSU UL GLOWNA 1 STR, OLESZNO                          PL",Consignee→NotifyParty,2,31.81
W3 Va 7 A Exercises,"W3VA 7A EXERCISES
16TH GSU UL GLOWNA 1 STR, OLESZNO                          PL",Shipper→NotifyParty,2,31.81
Qingdao Hengye Electric Power,"CLEARFREIGHT HOUSTON BRANCH
2700 GREENS RD SUITE F 300 HOUSTON, TX 77032",Shipper→NotifyParty,2,31.8
Jb Exp.,"GEODIS FF POLYNESIE
AEROPORT INTERNATIONAL DE TAHITI FA, PAPEETE PF",Shipper→NotifyParty,2,31.8
Car Imp. Direct Ltd.,"WALLENIUS WILHELMSEN SOLUTIONS UK
TEST ROAD, PORT OFFICE  DOCK GATE, SOUTHAMPTON GB",Consignee→NotifyParty,4,31.8
Brand Equipment B.V.,"TQL GLOBAL LLC
4289 IVY POINTE BLVD, CINCINNATI,, CINCINNATI OH45245 US

;

NMT USA INC
150 SECOND AVE. N., SUITE 690, ST PETERSBURG FL33701 USJASON MAINTZER TE001 727 888 3744",Shipper→NotifyParty,1,31.8
Qingdao Hengye Electric Power,Orion Engineered Carbons Llc,Shipper→Consignee,2,31.8
Orion Engineered Carbons Llc,"CLEARFREIGHT HOUSTON BRANCH
2700 GREENS RD SUITE F 300 HOUSTON, TX 77032",Consignee→NotifyParty,2,31.8
"Bros Co., Ltd.",Car Imp. Direct Ltd.,Shipper→Consignee,4,31.8
Apibat,"GEODIS FF POLYNESIE
AEROPORT INTERNATIONAL DE TAHITI FA, PAPEETE PF",Consignee→NotifyParty,2,31.8
Jb Exp.,Apibat,Shipper→Consignee,2,31.8
Enterprise,"CENTRAL DISPATCH INC
1700 4TH ST, HARVEY LA",Consignee→NotifyParty,2,31.770000000000003
Sun America Llc,"DELFORT USA, INC
216 3rd St. NE,, CHARLOTTESVILLE VA US 22902

;

Expeditors International
2550 ELLSMERE AVE, SUITE B, NORFOLK VA US 23513",Consignee→NotifyParty,2,31.76
Daniels Co. West Virginia Inc.,Quintette Resources Ltd. Partner,Shipper→Consignee,2,31.76
Daniels Co. West Virginia Inc.,"QUINTETTE RESOURCES LIMITED PARTNER
QUINTETTE RESOURCES LIMITED PARTNER, PO BOX 2140, APPROX. 15 KM SOUTH O, F TUMBLER RIDGE, BC V0C 2W0, CANADA, TUMBLER RIDGE BC V0C 2W0 CA TUMBLER RIDGE BCV0C 2W0 CA",Shipper→NotifyParty,2,31.76
Quintette Resources Ltd. Partner,"QUINTETTE RESOURCES LIMITED PARTNER
QUINTETTE RESOURCES LIMITED PARTNER, PO BOX 2140, APPROX. 15 KM SOUTH O, F TUMBLER RIDGE, BC V0C 2W0, CANADA, TUMBLER RIDGE BC V0C 2W0 CA TUMBLER RIDGE BCV0C 2W0 CA",Consignee→NotifyParty,2,31.76
Tervakoski Oy,Sun America Llc,Shipper→Consignee,2,31.76
Kestrel Liner Jamaica Ltd.,"KESTREL LINER AGENCIES LTD
LOT 1 CRYSTALLINE HUB, MIGHTY GRYNNER HIGHWAY, ST MICHAEL, BARBADOS, BAR",Shipper→NotifyParty,1,31.75
Kestrel Liner Agencies Ltd.,"KESTREL LINER AGENCIES LTD
LOT 1 CRYSTALLINE HUB, MIGHTY GRYNNER HIGHWAY, ST MICHAEL, BARBADOS, BAR",Consignee→NotifyParty,1,31.75
Kestrel Liner Jamaica Ltd.,Kestrel Liner Agencies Ltd.,Shipper→Consignee,1,31.75
"Takatsu Mfg. Co., Ltd.",Takatsu Mfg. North America,Shipper→Consignee,4,31.75
Giddings Cerasus S.A.,Pacific Trellis Fruit,Shipper→Consignee,5,31.740000000000002
Bombardier Transport France S.A.S.,"BOMBARDIER LEARJET INC.
4100 S.W. 11 TH TERRACE, FORT LAUDERDALE FL33315 US",Shipper→NotifyParty,2,31.74
Bombardier Learjet Inc.,"BOMBARDIER LEARJET INC.
4100 S.W. 11 TH TERRACE, FORT LAUDERDALE FL33315 US",Consignee→NotifyParty,2,31.74
Bombardier Transport France S.A.S.,Bombardier Learjet Inc.,Shipper→Consignee,2,31.74
Canadian Fishing Co.,Seafood Producers Cooperative,Shipper→Consignee,4,31.700000000000003
To Lafarge North America,"TO LAFARGE NORTH AMERICA
5400 W MARGINAL WAY SW SEATTLE, WASHINGTON 98106 USA",Consignee→NotifyParty,1,31.68
Nissan Canada Inc.,"1)NISSAN CANADA INC.
P.O.BOX 820,NEW WESTMINSTER B.C., 2)LIVINGSTON CUSTOMS BROKERS, VANCOUVER B.C., VANCOUVERBC          US",Consignee→NotifyParty,2,31.68
"Nissan Motor Co., Ltd.","1)NISSAN CANADA INC.
P.O.BOX 820,NEW WESTMINSTER B.C., 2)LIVINGSTON CUSTOMS BROKERS, VANCOUVER B.C., VANCOUVERBC          US",Shipper→NotifyParty,2,31.68
Tangshan City Secai Trading Co.,To Lafarge North America,Shipper→Consignee,1,31.68
A.O.K. Industrial Co.,Integrated Supply Network,Shipper→Consignee,2,31.68
Tangshan City Secai Trading Co.,"TO LAFARGE NORTH AMERICA
5400 W MARGINAL WAY SW SEATTLE, WASHINGTON 98106 USA",Shipper→NotifyParty,1,31.68
"Be Forward Co., Ltd.","WALLENIUS WILHELMSEN LOGISTICS AS
FRANZIUSSTR  82, BREMERHAVEN DE",Shipper→NotifyParty,18,31.65
"Wuxi Rhester Machinery Co., Ltd.",Ge Renewables North America,Shipper→Consignee,1,31.64
Sia Ste D Importation Automobiles,"C T L CONSULTANT TRANSPORT
BP 9642, NOUMEA NC NC",Consignee→NotifyParty,2,31.64
Volkswagen Ag,Sia Ste D Importation Automobiles,Shipper→Consignee,2,31.64
The Japan Steel Works Ltd.,Daikin Mfg. Mexico,Shipper→Consignee,1,31.62
The Japan Steel Works Ltd.,"JAPAN STEEL WORKS AMERICA
1890 S CARLOS AVE, ONTARIO, CA, US, 91761, TE9097403808",Shipper→NotifyParty,1,31.62
Daikin Mfg. Mexico,"JAPAN STEEL WORKS AMERICA
1890 S CARLOS AVE, ONTARIO, CA, US, 91761, TE9097403808",Consignee→NotifyParty,1,31.62
Mercedes Benz Mexico,"NG CUSTOMS
AV.5 DE MAYO, 863 COL. CENTRO, C.P., 91700 VERACRUZ MEXICO, RFC  NCU170922HQ0, MEXICO CITY DF",Consignee→NotifyParty,4,31.619999999999997
Ncl (Bahamas Ltd.),Clean Harbors Enviromental Service,Shipper→Consignee,18,31.61
Mae Eitel Inc.,"SEAFAIR USA LLC
1090 KING GEORGES POST ROAD, SUITE 403, EDISON  NJ 08837 US",Consignee→NotifyParty,2,31.6
Ring Power Corp. John Stancil,"HANSEN SHIPPING AGENCY INC.,
OLDE TOWNE OFFICE PARK, 4895 OLDE TOWNE PKWY STE 102, MARIETTAGA 30068, TE+1 770-485-2931",Consignee→NotifyParty,2,31.6
Mixaco Dr Herfeld Gmb H & Co Kg,Mixaco Usa Llc,Shipper→Consignee,4,31.6
Zeppelin Baumaschinen Gmb H,Ring Power Corp. John Stancil,Shipper→Consignee,2,31.6
Mae Maschinen Und Apparatebau,Mae Eitel Inc.,Shipper→Consignee,2,31.6
Zeppelin Baumaschinen Gmb H,"HANSEN SHIPPING AGENCY INC.,
OLDE TOWNE OFFICE PARK, 4895 OLDE TOWNE PKWY STE 102, MARIETTAGA 30068, TE+1 770-485-2931",Shipper→NotifyParty,2,31.6
Mae Maschinen Und Apparatebau,"SEAFAIR USA LLC
1090 KING GEORGES POST ROAD, SUITE 403, EDISON  NJ 08837 US",Shipper→NotifyParty,2,31.6
Hj Schryver,Schryver Del Ecuador S.A.,Shipper→Consignee,2,31.590000000000003
Hj Schryver,"SCHRYVER DEL ECUADOR S.A.
REPUBLICA DEL SALVADOR 34493 Y PORT, QUITO P 170150 ECUADOR",Shipper→NotifyParty,2,31.590000000000003
Schryver Del Ecuador S.A.,"SCHRYVER DEL ECUADOR S.A.
REPUBLICA DEL SALVADOR 34493 Y PORT, QUITO P 170150 ECUADOR",Consignee→NotifyParty,2,31.590000000000003
Eurocar Ltd.,"EUROCAR LTD
4 WOODLAND ROAD, PEMBROKE  HM09 BM",Consignee→NotifyParty,4,31.580000000000002
Renault S.A.S.,"EUROCAR LTD
4 WOODLAND ROAD, PEMBROKE  HM09 BM",Shipper→NotifyParty,4,31.580000000000002
